Indicator component assessed,Long term,Medium term,Short term
A1 Emissions of ammonia (NH3) in England,Improvement,Improvement,Improvement
A1 Emissions of fine particulate matter (PM2.5) in England,Improvement,Improvement,Improvement
A1 Emissions of nitrogen oxides (NOx) in England,Improvement,Improvement,Improvement
A1 Emissions of non-methane volatile organic compounds (NMVOCs) in England,Improvement,Improvement,Improvement
A1 Emissions of sulphur dioxide (SO2) in England,Improvement,Improvement,Improvement
A3i Population exposure to fine particulate matter (PM2.5) in the air in England,Not assessed,Not assessed,Improvement
A4 Rural background concentrations of ozone (O3) in England,Deterioration,Deterioration,Deterioration
A5 Roadside nitrogen dioxide (NO2) concentrations in England,Improvement,Improvement,Improvement
A6i Exceedance of damaging levels of nutrient nitrogen deposition on ecosystems in England,Little or no change,Little or no change,Little or no change
A6ii Excess deposition of nutrient nitrogen in England,Improvement,Improvement,Improvement
A7 Area of land in England exposed to damaging levels of ammonia (NH3) in the atmosphere,Improvement,Improvement,Improvement
