Primary goal,From Indicator,To Indicator,Correlation,Rationale
Clean and plentiful water,B1 Pollution loads entering waters,B3 State of the water environment,Negative,"Substances more often found in rivers at levels exceeding their environmental quality standard in water include metals such as cadmium, lead, nickel and zinc."
Clean and plentiful water,B1 Pollution loads entering waters,B4 Condition of bathing waters,Negative,"B1 tracks changes in the inputs and discharges of selected contaminants such as nutrients and some toxic chemicals to rivers or directly to the sea, for example through sewage pipelines."
Clean and plentiful water,B1 Pollution loads entering waters,B7 Health of freshwaters assessed through fish stocks,Negative,Water quality issues were the cause of 38% of all fish test failures.
Clean and plentiful water,B1 Pollution loads entering waters,"D1 Quantity, quality and connectivity of habitats",Negative,"B1 records the discharge/emission of contaminants that adversely affect the quality and uses of receiving waters. These affect the wildlife and ecology of rivers, estuaries and coastal waters."
Clean and plentiful water,B1 Pollution loads entering waters,D4 Relative abundance and distribution of widespread species,Negative,"B1 records the discharge/emission of contaminants that adversely affect the quality and uses of receiving waters. These affect the wildlife and ecology of rivers, estuaries and coastal waters."
Clean and plentiful water,B1 Pollution loads entering waters,D5 Conservation status of our native species,Negative,"B1 records the discharge/emission of contaminants that adversely affect the quality and uses of receiving waters. These affect the wildlife and ecology of rivers, estuaries and coastal waters."
Clean and plentiful water,B1 Pollution loads entering waters,D6 Abundance and distribution of priority species in England,Negative,"B1 records the discharge/emission of contaminants that adversely affect the quality and uses of receiving waters. These affect the wildlife and ecology of rivers, estuaries and coastal waters."
Clean and plentiful water,B1 Pollution loads entering waters,H4 Exposure and adverse effects of chemicals on wildlife in the environment,Positive,"B1 includes emissions of mercury, H4 monitors exposure to mercury."
Clean and plentiful water,B2 Serious pollution incidents to water,B3 State of the water environment,Negative,"B2 shows changes in the number of pollution incidents impacting on water health, including in rivers, lakes, reservoirs, canals, coasts, estuaries and groundwater."
Clean and plentiful water,B2 Serious pollution incidents to water,B4 Condition of bathing waters,Negative,"The 2 higher categories of serious pollution event cause, for example, potential harm to bathers. "
Clean and plentiful water,B2 Serious pollution incidents to water,B5 Water bodies achieving sustainable abstraction criteria ,Negative,"The 2 higher categories of serious pollution event cause, for example, the temporary cessation of abstraction from a river by a drinking water provider. "
Clean and plentiful water,B2 Serious pollution incidents to water,B7 Health of freshwaters assessed through fish stocks,Negative,"The 2 higher categories of serious pollution event cause, for example, death of fish."
Clean and plentiful water,B2 Serious pollution incidents to water,D4 Relative abundance and distribution of widespread species,Negative,"The 2 higher categories of serious pollution event cause, for example, death of fish."
Clean and plentiful water,B2 Serious pollution incidents to water,D5 Conservation status of our native species,Negative,"The 2 higher categories of serious pollution event cause, for example, death of fish."
Clean and plentiful water,B2 Serious pollution incidents to water,D6 Abundance and distribution of priority species in England,Negative,"The 2 higher categories of serious pollution event cause, for example, death of fish."
Clean and plentiful water,B2 Serious pollution incidents to water,G7 Health and wellbeing benefits,Negative,"The 2 higher categories of serious pollution event cause, for example, potential harm to bathers."
Clean and plentiful water,B2 Serious pollution incidents to water,H4 Exposure and adverse effects of chemicals on wildlife in the environment,Positive,"Pollution incidents could involve the release of pollutants monitored through H4 for example, mercury. "
Clean and plentiful water,B3 State of the water environment,D5 Conservation status of our native species,Positive,"B3 status assessments are based on indicators for specific species groups for example, plants and algae, invertebrates."
Clean and plentiful water,B3 State of the water environment,D6 Abundance and distribution of priority species in England,Positive,"B3 status assessments are based on indicators for specific species groups for example, plants and algae, invertebrates."
Clean and plentiful water,B4 Condition of bathing waters,G7 Health and wellbeing benefits,Positive,"Status of bathing waters is based on a set of microbiological tests (measuring E.coli and intestinal enterococci) performed on waters used for bathing. The bacteria, if present, can cause severe stomach upsets and gastro-intestinal illness."
Clean and plentiful water,B5 Water bodies achieving sustainable abstraction criteria ,B3 State of the water environment,Positive,Drinking water protected area status feeds into the B3 results.
Clean and plentiful water,B5 Water bodies achieving sustainable abstraction criteria ,B6 Natural functions of water and wetland ecosystems,Positive,River flows and groundwater levels are considered sustainable when they support ecology that is only slightly impacted by human activity.
Clean and plentiful water,B6 Natural functions of water and wetland ecosystems,"D1 Quantity, quality and connectivity of habitats",Positive,"Indicator B6 is closely linked with indicator D1 on the extent, quality and connectivity of habitats as the naturalness of ecosystem function is also being considered within D1."
Clean and plentiful water,B6 Natural functions of water and wetland ecosystems,F1 Disruption or unwanted impacts from flooding or coastal erosion,Negative,Restoring natural functions to wetland ecosystems contributes to enhancing ecosystem services such as the provision of clean water and flood regulation.
Clean and plentiful water,A6 Exceedance of damaging levels of nutrient nitrogen deposition on ecosystems,B3 State of the water environment,Negative,Nutrients are a major cause of water bodies being at less than good ecological status and also affect drinking water quality. Nitrates account for 65% of the reasons for failure for those groundwaters that are protected for use for drinking water and are classed at poor status. Nitrate enters groundwater from diffuse pollution on land. (mainly water run-off from agricultural land) or is deposited onto land from the air.
Clean and plentiful water,C4 Diverse seas: condition of seafloor habitats,B3 State of the water environment,Positive,"B3a assesses coastal waters and estuaries based on a saltmarsh indicator, C4c assesses the status of saltmarsh habitats."
Clean and plentiful water,D5 Conservation status of our native species,B3 State of the water environment,Positive,"B3 status assessments are based on indicators for specific species groups for example, plants and algae, invertebrates."
Clean and plentiful water,D6 Abundance and distribution of priority species in England,B3 State of the water environment,Positive,"B3 status assessments are based on indicators for specific species groups for example, plants and algae, invertebrates."
Clean and plentiful water,E3 Volume of inputs used in agricultural production,B1 Pollution loads entering waters,Positive,"B1 tracks changes in the inputs and discharges of selected contaminants such as nutrients and some toxic chemicals to rivers or directly to the sea, for example through activities such as agriculture inputting substances directly."
Clean and plentiful water,E3 Volume of inputs used in agricultural production,B2 Serious pollution incidents to water,Positive,Agriculture is now the largest sector responsible for significant pollution events to water.
Clean and plentiful water,E3 Volume of inputs used in agricultural production,B3 State of the water environment,Negative,Agriculture and rural land management is one of the main activities that prevent water bodies reaching good status.
Clean and plentiful water,E3 Volume of inputs used in agricultural production,B6 Natural functions of water and wetland ecosystems,Negative,"Nutrient run off affects the natural functions of wetland ecosystems, for example, through eutrophication. "
Clean and plentiful water,E8 Sustainable use of water,B5 Water bodies achieving sustainable abstraction criteria ,Positive,Reducing water consumption and leakage will help in achieving sustainable extraction. 
Clean and plentiful water,H3 Emissions of mercury and persistent organic pollutants to the environment,B1 Pollution loads entering waters,Positive,B1 includes levels of mercury.
Clean and plentiful water,J6 Waste crime,B1 Pollution loads entering waters,Positive,"If not handled properly, waste can cause serious pollution of the environment – air, land and water."
Clean and plentiful water,J6 Waste crime,B2 Serious pollution incidents to water,Positive,"If not handled properly, waste can cause serious pollution of the environment – air, land and water."
