Primary goal,From Indicator,To Indicator,Correlation,Rationale
Thriving plants and wildlife,C2 Seabed subject to high pressure from human activity,C4 Diverse seas: condition of seafloor habitats,Negative,C2 shows the intensity of potential physical damage on the seabed which will affect the condition of seafloor habitats. 
Thriving plants and wildlife,C2 Seabed subject to high pressure from human activity,C6 Diverse seas: status of threatened and declining features,Negative,"Impacts from bottom trawling, as measured by C2, is a key pressure affecting many sensitive marine features."
Thriving plants and wildlife,C2 Seabed subject to high pressure from human activity,C9 Healthy seas: sea-floor habitats functioning,Negative,"C9 will be measured by level of physical loss, which includes is caused by very high levels of human activity measured by C2. "
Thriving plants and wildlife,C2 Seabed subject to high pressure from human activity,C11 Productive seas: status of sensitive fish and shellfish stocks,Negative,C11 will show the status of fish and shellfish that are particularly sensitive to pressures such as fishing mortality. C2 shows level of pressure from some types of fishing. 
Thriving plants and wildlife,"C3 Diverse seas: status of mammals, birds and fish",C8 Healthy Seas: marine food webs functioning,Positive,"C8 will be based on the UK Marine Strategy food webs indicator which measures progress towards achievement of the Good Environmental Status by using the assessments of fish, birds, seals, cetaceans and pelagic habitats. "
Thriving plants and wildlife,C4 Diverse seas: condition of seafloor habitats,B3 State of the water environment,Positive,"B3a assesses coastal waters and estuaries based on a saltmarsh indicator, C4c assesses the status of saltmarsh habitats."
Thriving plants and wildlife,C4 Diverse seas: condition of seafloor habitats,C6 Diverse seas: status of threatened and declining features,Positive,C4 includes some habitats which are also threatened and declining features.
Thriving plants and wildlife,C5 Diverse seas: condition of pelagic habitats,C8 Healthy Seas: marine food webs functioning,Positive,"C8 will be based on the UK Marine Strategy food webs indicator which measures progress towards achievement of the Good Environmental Status by using the assessments of fish, birds, seals, cetaceans and pelagic habitats. "
Thriving plants and wildlife,C5 Diverse seas: condition of pelagic habitats,"C3 Diverse seas: status of mammals, birds and fish",Positive,"The changes experienced by plankton communities could have implications for the health (functioning, dynamics and structure) of the whole marine ecosystem."
Thriving plants and wildlife,C7 Healthy Seas: fish and shellfish populations,"C3 Diverse seas: status of mammals, birds and fish",Positive,"Reduced availability of small fish, on which the seabirds feed, has been largely responsible for declines in seabird breeding abundance and the frequent, widespread breeding failures in some species. "
Thriving plants and wildlife,C7 Healthy Seas: fish and shellfish populations,C8 Healthy Seas: marine food webs functioning,Positive,"C8 will be based on the UK Marine Strategy food webs indicator which measures progress towards achievement of the Good Environmental Status by using the assessments of fish, birds, seals, cetaceans and pelagic habitats. "
