Year,Pollutant,Value
2005,NOx,100.0
2005,PM2.5,100.0
2005,SO2,100.0
2005,NMVOC,100.0
2005,NH3,100.0
2006,NOx,95.8508362177476
2006,PM2.5,97.74742154980666
2006,SO2,90.67355826302835
2006,NMVOC,95.40141995342496
2006,NH3,99.34367828144536
2007,NOx,92.8585730221502
2007,PM2.5,92.57593166008444
2007,SO2,80.34752343330493
2007,NMVOC,90.78235641950782
2007,NH3,97.29566068035936
2008,NOx,81.90810958142484
2008,PM2.5,93.08431950213826
2008,SO2,66.91699504747531
2008,NMVOC,84.4034005719206
2008,NH3,91.88725806475765
2009,NOx,70.68234329778743
2009,PM2.5,88.52399303437191
2009,SO2,54.04478505330887
2009,NMVOC,75.72284041720052
2009,NH3,93.57443296324485
2010,NOx,68.71944876381292
2010,PM2.5,94.93411353010065
2010,SO2,52.802989641802526
2010,NMVOC,72.02935575846689
2010,NH3,94.43740271286086
2011,NOx,64.87948294741551
2011,PM2.5,85.7987692770666
2011,SO2,52.42112125214364
2011,NMVOC,70.48019892912643
2011,NH3,94.04490723153032
2012,NOx,66.3505822018878
2012,PM2.5,90.76033127041786
2012,SO2,59.07354777157818
2012,NMVOC,68.74582544164699
2012,NH3,93.21634617599972
2013,NOx,62.60450444224905
2013,PM2.5,92.81457002149553
2013,SO2,50.45530772377914
2013,NMVOC,66.1227065037625
2013,NH3,91.50556359524512
2014,NOx,58.512986324735735
2014,PM2.5,87.72353440665992
2014,SO2,41.50983905715712
2014,NMVOC,65.66455371843057
2014,NH3,96.12684948691032
2015,NOx,55.90637647906773
2015,PM2.5,87.2300798045784
2015,SO2,32.67611222385761
2015,NMVOC,65.22102219662565
2015,NH3,97.35593858440376
2016,NOx,50.12198032562624
2016,PM2.5,85.42941070288191
2016,SO2,23.591217370850934
2016,NMVOC,63.27103254489514
2016,NH3,98.5234550786526
2017,NOx,49.063764421216085
2017,PM2.5,85.95017662697153
2017,SO2,24.09983044950036
2017,NMVOC,63.38870181193781
2017,NH3,98.66208981761632
2018,NOx,48.53516280878035
2018,PM2.5,87.74080640647931
2018,SO2,22.178190558691195
2018,NMVOC,63.59639944170932
2018,NH3,98.43487423323624
2019,NOx,46.70202660780007
2019,PM2.5,85.28504864048246
2019,SO2,19.977635564565123
2019,NMVOC,62.92369548260483
2019,NH3,97.33611549163317
