Year,Value
1973,100.0
1974,97.02446137783689
1975,96.74653065340196
1976,98.2718076008926
1977,97.92577038157224
1978,98.4223118185258
1979,100.46010400798464
1980,98.6338315162072
1981,96.8815454278417
1982,100.58753854637472
1983,101.90848799265656
1984,100.75852034407016
1985,101.40610087333415
1986,101.91923990758696
1987,101.7280736918386
1988,102.19548786112529
1989,100.59033488204012
1990,99.55260482734924
1991,98.89239516870292
1992,98.05430527733408
1993,97.97837684937328
1994,98.84047066840324
1995,100.0943130332818
1996,99.9321733953426
1997,98.80598174043588
1998,96.2747880367954
1999,93.6925465297186
2000,88.88553855024817
2001,87.25753607736291
2002,85.32878267729305
2003,84.33118263915456
2004,84.70528467662899
2005,83.21997053409083
2006,81.77042966949489
2007,82.3353599886089
2008,82.58114826696551
2009,82.99042938186865
2010,84.42603956242904
2011,84.2997417065371
2012,84.36082942727249
2013,85.60826054709615
2014,86.43778904350212
2015,87.35819621988601
2016,87.67608914701992
2017,88.07000735800602
2018,86.87627429025147
2019,87.06104970426219
2020,86.00305591977246
