Year,Series,Value
2002-2003,E8a,3152.4385471090386
2003-2004,E8a,3298.970168379515
2004-2005,E8a,3365.2887656054386
2005-2006,E8a,3347.7287018676507
2006-2007,E8a,3279.145944228412
2007-2008,E8a,3187.276666666666
2008-2009,E8a,3102.773333333333
2009-2010,E8a,3062.08
2010-2011,E8a,3087.7700000000004
2011-2012,E8a,3041.396666666667
2012-2013,E8a,3001.25
2013-2014,E8a,2921.773333333334
2014-2015,E8a,2919.8233333333337
2015-2016,E8a,2897.763333333334
2016-2017,E8a,2898.91
2017-2018,E8a,2914.2533333333326
2018-2019,E8a,2945.373333333333
2019-2020,E8a,2903.26
2020-2021,E8a,2857.175166666668
2003-2004,E8b,151.62890987636194
2004-2005,E8b,151.63021682277432
2005-2006,E8b,151.80755507256603
2006-2007,E8b,149.65533678549707
2007-2008,E8b,148.7265002635376
2008-2009,E8b,146.8014433749751
2009-2010,E8b,146.15420936120745
2010-2011,E8b,145.81188253694958
2011-2012,E8b,145.49819174834423
2012-2013,E8b,143.3447903074247
2013-2014,E8b,141.59206666946343
2014-2015,E8b,139.75134591459752
2015-2016,E8b,139.78965904038816
2016-2017,E8b,139.51617109269472
2017-2018,E8b,140.31421488252724
2018-2019,E8b,141.4950932577356
2019-2020,E8b,141.3835028141581
2020-2021,E8b,145.0098129716803
