Year,Destination,Value
2010,Landfill,24.612296
2011,Landfill,23.068274
2012,Landfill,21.250142
2013,Landfill,19.281184
2014,Landfill,17.051546
2015,Landfill,15.161447
2016,Landfill,14.550501
2017,Landfill,13.658447
2018,Landfill,13.749225
2019,Landfill,13.75524
2010,Incineration,5.968552
2011,Incineration,
2012,Incineration,7.036313
2013,Incineration,
2014,Incineration,8.599041
2015,Incineration,10.366875
2016,Incineration,11.639106
2017,Incineration,12.992265
2018,Incineration,14.346646
2019,Incineration,15.296421
