Year,Sector,Value
1990,Forestry sink,-7.626229098879338
1990,Agriculture,33.48307873742323
1990,Fluorinated gases,16.887778045524943
1990,Land use & land use change,7.882721312150671
1990,Waste,55.50763519354535
1990,Net total including forestry sink,106.13498418976486
1991,,
1992,,
1993,,
1994,,
1995,Forestry sink,-7.791859560919337
1995,Agriculture,32.02374869828187
1995,Fluorinated gases,20.44177492648161
1995,Land use & land use change,7.373652116534347
1995,Waste,57.63860842208478
1995,Net total including forestry sink,109.68592460246326
1996,,
1997,,
1998,Forestry sink,-8.149439474513336
1998,Agriculture,31.84528008607707
1998,Fluorinated gases,20.96383956248277
1998,Land use & land use change,6.799981626750673
1998,Waste,56.53974806243974
1998,Net total including forestry sink,107.99940986323692
1999,Forestry sink,-8.244067809014341
1999,Agriculture,31.87330121102925
1999,Fluorinated gases,12.479670453866204
1999,Land use & land use change,7.425123367452999
1999,Waste,54.16741646538211
1999,Net total including forestry sink,97.70144368871624
2000,Forestry sink,-8.360739444596007
2000,Agriculture,30.221892227246972
2000,Fluorinated gases,11.092702624429004
2000,Land use & land use change,7.425380055014006
2000,Waste,52.06097926308794
2000,Net total including forestry sink,92.44021472518192
2001,Forestry sink,-8.466880279125345
2001,Agriculture,28.29492916821951
2001,Fluorinated gases,11.532828693897958
2001,Land use & land use change,7.232145299247676
2001,Waste,50.41977220063584
2001,Net total including forestry sink,89.01279508287564
2002,Forestry sink,-8.576382678126349
2002,Agriculture,28.19727553240599
2002,Fluorinated gases,11.82386813388577
2002,Land use & land use change,6.939836984832005
2002,Waste,49.46140430865094
2002,Net total including forestry sink,87.84600228164837
2003,Forestry sink,-8.63157600725301
2003,Agriculture,28.73149390108067
2003,Fluorinated gases,12.86726703148636
2003,Land use & land use change,6.78856764208568
2003,Waste,46.05459260361729
2003,Net total including forestry sink,85.81034517101699
2004,Forestry sink,-8.600864765933679
2004,Agriculture,28.713291529541998
2004,Fluorinated gases,11.704081216840608
2004,Land use & land use change,6.292133617126006
2004,Waste,42.54908075373847
2004,Net total including forestry sink,80.6577223513134
2005,Forestry sink,-8.567856726218006
2005,Agriculture,28.44582046503264
2005,Fluorinated gases,12.668404838080388
2005,Land use & land use change,6.099249181067333
2005,Waste,40.46378027478012
2005,Net total including forestry sink,79.10939803274248
2006,Forestry sink,-8.503880834256345
2006,Agriculture,27.724889088987435
2006,Fluorinated gases,13.276714180227408
2006,Land use & land use change,5.809242275886334
2006,Waste,37.8156960962756
2006,Net total including forestry sink,76.12266080712044
2007,Forestry sink,-8.502695520597346
2007,Agriculture,27.12047589022789
2007,Fluorinated gases,13.498427501160153
2007,Land use & land use change,5.501862600522666
2007,Waste,35.3076517496803
2007,Net total including forestry sink,72.92572222099366
2008,Forestry sink,-8.585344845453667
2008,Agriculture,26.8518829060396
2008,Fluorinated gases,13.736867692885696
2008,Land use & land use change,5.273749218000011
2008,Waste,31.44517006964637
2008,Net total including forestry sink,68.722325041118
2009,Forestry sink,-8.560930688829679
2009,Agriculture,26.605675121963568
2009,Fluorinated gases,14.047728400566008
2009,Land use & land use change,5.237736545219001
2009,Waste,28.16265830279475
2009,Net total including forestry sink,65.49286768171365
2010,Forestry sink,-8.702441574160678
2010,Agriculture,26.592452653592495
2010,Fluorinated gases,15.04919812789376
2010,Land use & land use change,5.092267030184337
2010,Waste,24.23770470425978
2010,Net total including forestry sink,62.26918094176969
2011,Forestry sink,-8.789435981882008
2011,Agriculture,26.739501809562206
2011,Fluorinated gases,13.796139124922847
2011,Land use & land use change,4.948852650920015
2011,Waste,22.43559827362441
2011,Net total including forestry sink,59.130655877147476
2012,Forestry sink,-8.732142434454678
2012,Agriculture,26.495213768025348
2012,Fluorinated gases,13.817339464306322
2012,Land use & land use change,4.757238781190004
2012,Waste,21.49211898290436
2012,Net total including forestry sink,57.82976856197136
2013,Forestry sink,-8.739836677115676
2013,Agriculture,26.26289270501769
2013,Fluorinated gases,14.03717308425194
2013,Land use & land use change,4.486895979208677
2013,Waste,19.37233588317501
2013,Net total including forestry sink,55.41946097453764
2014,Forestry sink,-8.739734386068676
2014,Agriculture,27.262799212761323
2014,Fluorinated gases,14.103286004751926
2014,Land use & land use change,4.349375251750331
2014,Waste,17.70869734566574
2014,Net total including forestry sink,54.68442342886065
2015,Forestry sink,-8.757918182905343
2015,Agriculture,27.00623639310417
2015,Fluorinated gases,14.140009909620565
2015,Land use & land use change,4.187479215217993
2015,Waste,16.940514732791527
2015,Net total including forestry sink,53.51632206782891
2016,Forestry sink,-8.81900826829601
2016,Agriculture,26.82850832335265
2016,Fluorinated gases,13.521385972847202
2016,Land use & land use change,4.303397911721661
2016,Waste,16.43712334422245
2016,Net total including forestry sink,52.27140728384796
2017,Forestry sink,-8.744519188629011
2017,Agriculture,27.16292961116593
2017,Fluorinated gases,12.775122023106162
2017,Land use & land use change,4.025832571966999
2017,Waste,16.805735928898184
2017,Net total including forestry sink,52.02510094650825
2018,Forestry sink,-8.720092490901346
2018,Agriculture,27.005555379505942
2018,Fluorinated gases,11.66971840040683
2018,Land use & land use change,3.803436910039668
2018,Waste,17.027476691665107
2018,Net total including forestry sink,50.7860948907162
