Year,Ecosystem,Protection,Value
Wider Caribbean,Marine,Percentage of total area protected,0.1039639985420548
Wider Caribbean,Terrestrial,Percentage of total area protected,14.804492204755828
South Atlantic,Marine,Percentage of total area protected,63.91675670225979
South Atlantic,Terrestrial,Percentage of total area protected,3.0827582592151908
Indian and Pacific Oceans,Marine,Percentage of total area protected,99.98218881999922
Indian and Pacific Oceans,Terrestrial,Percentage of total area protected,60.55774194789825
Mediterranean,Marine,Percentage of total area protected,18.693680475912675
Mediterranean,Terrestrial,Percentage of total area protected,38.08045912342892
All UKOTs,Marine,Percentage of total area protected,62.99559012806959
All UKOTs,Terrestrial,Percentage of total area protected,4.688363497403031
Wider Caribbean,Marine,Percentage of total area unprotected,99.89603600145794
Wider Caribbean,Terrestrial,Percentage of total area unprotected,85.19550779524417
South Atlantic,Marine,Percentage of total area unprotected,36.08324329774021
South Atlantic,Terrestrial,Percentage of total area unprotected,96.9172417407848
Indian and Pacific Oceans,Marine,Percentage of total area unprotected,0.0178111800007769
Indian and Pacific Oceans,Terrestrial,Percentage of total area unprotected,39.44225805210175
Mediterranean,Marine,Percentage of total area unprotected,81.30631952408733
Mediterranean,Terrestrial,Percentage of total area unprotected,61.91954087657109
All UKOTs,Marine,Percentage of total area unprotected,37.00440987193041
All UKOTs,Terrestrial,Percentage of total area unprotected,95.31163650259695
