Year,Series,Area,Value
2008,C1a (interim),Greater North Sea,174.4
2009,C1a (interim),Greater North Sea,140.0
2010,C1a (interim),Greater North Sea,150.9
2011,C1a (interim),Greater North Sea,151.5
2012,C1a (interim),Greater North Sea,177.7
2013,C1a (interim),Greater North Sea,251.9
2014,C1a (interim),Greater North Sea,240.9
2015,C1a (interim),Greater North Sea,282.1
2008,C1a (interim),Celtic Seas,326.3
2009,C1a (interim),Celtic Seas,329.8
2010,C1a (interim),Celtic Seas,309.3
2011,C1a (interim),Celtic Seas,240.0
2012,C1a (interim),Celtic Seas,286.3
2013,C1a (interim),Celtic Seas,230.7
2014,C1a (interim),Celtic Seas,290.7
2015,C1a (interim),Celtic Seas,367.6
2004-2008,C1b (interim),,62.0
2005-2009,C1b (interim),,65.0
2006-2010,C1b (interim),,64.0
2007-2011,C1b (interim),,63.0
2008-2012,C1b (interim),,64.0
2009-2013,C1b (interim),,61.0
2010-2014,C1b (interim),,63.0
