Year,Series,Category,Value
1990,C10a (interim),Percentage unknown,47.368421052631575
1991,C10a (interim),Percentage unknown,43.85964912280701
1992,C10a (interim),Percentage unknown,42.10526315789473
1993,C10a (interim),Percentage unknown,35.08771929824561
1994,C10a (interim),Percentage unknown,33.33333333333333
1995,C10a (interim),Percentage unknown,35.08771929824561
1996,C10a (interim),Percentage unknown,31.57894736842105
1997,C10a (interim),Percentage unknown,35.08771929824561
1998,C10a (interim),Percentage unknown,31.57894736842105
1999,C10a (interim),Percentage unknown,29.82456140350877
2000,C10a (interim),Percentage unknown,29.82456140350877
2001,C10a (interim),Percentage unknown,26.31578947368421
2002,C10a (interim),Percentage unknown,26.31578947368421
2003,C10a (interim),Percentage unknown,22.807017543859647
2004,C10a (interim),Percentage unknown,24.561403508771928
2005,C10a (interim),Percentage unknown,22.807017543859647
2006,C10a (interim),Percentage unknown,22.807017543859647
2007,C10a (interim),Percentage unknown,22.807017543859647
2008,C10a (interim),Percentage unknown,22.807017543859647
2009,C10a (interim),Percentage unknown,21.052631578947366
2010,C10a (interim),Percentage unknown,22.807017543859647
2011,C10a (interim),Percentage unknown,22.807017543859647
2012,C10a (interim),Percentage unknown,21.052631578947366
2013,C10a (interim),Percentage unknown,19.29824561403509
2014,C10a (interim),Percentage unknown,19.29824561403509
2015,C10a (interim),Percentage unknown,19.29824561403509
2016,C10a (interim),Percentage unknown,19.29824561403509
2017,C10a (interim),Percentage unknown,19.29824561403509
2018,C10a (interim),Percentage unknown,21.052631578947366
1990,C10a (interim),Percentage above FMSY,43.85964912280701
1991,C10a (interim),Percentage above FMSY,47.368421052631575
1992,C10a (interim),Percentage above FMSY,49.122807017543856
1993,C10a (interim),Percentage above FMSY,57.89473684210527
1994,C10a (interim),Percentage above FMSY,56.14035087719298
1995,C10a (interim),Percentage above FMSY,61.40350877192983
1996,C10a (interim),Percentage above FMSY,63.1578947368421
1997,C10a (interim),Percentage above FMSY,59.64912280701754
1998,C10a (interim),Percentage above FMSY,64.91228070175438
1999,C10a (interim),Percentage above FMSY,66.66666666666666
2000,C10a (interim),Percentage above FMSY,64.91228070175438
2001,C10a (interim),Percentage above FMSY,66.66666666666666
2002,C10a (interim),Percentage above FMSY,61.40350877192983
2003,C10a (interim),Percentage above FMSY,56.14035087719298
2004,C10a (interim),Percentage above FMSY,57.89473684210527
2005,C10a (interim),Percentage above FMSY,63.1578947368421
2006,C10a (interim),Percentage above FMSY,63.1578947368421
2007,C10a (interim),Percentage above FMSY,61.40350877192983
2008,C10a (interim),Percentage above FMSY,57.89473684210527
2009,C10a (interim),Percentage above FMSY,56.14035087719298
2010,C10a (interim),Percentage above FMSY,49.122807017543856
2011,C10a (interim),Percentage above FMSY,45.614035087719294
2012,C10a (interim),Percentage above FMSY,45.614035087719294
2013,C10a (interim),Percentage above FMSY,35.08771929824561
2014,C10a (interim),Percentage above FMSY,38.59649122807017
2015,C10a (interim),Percentage above FMSY,35.08771929824561
2016,C10a (interim),Percentage above FMSY,38.59649122807017
2017,C10a (interim),Percentage above FMSY,40.35087719298245
2018,C10a (interim),Percentage above FMSY,28.07017543859649
1990,C10a (interim),Percentage below FMSY,8.771929824561402
1991,C10a (interim),Percentage below FMSY,8.771929824561402
