Year,Woodland Type,Value
1980,Conifer,0.3383525816303887
1981,Conifer,0.3392719931525182
1982,Conifer,0.3402371309723271
1983,Conifer,0.3416072731430105
1984,Conifer,0.3429251566877745
1985,Conifer,0.3435739431828221
1986,Conifer,0.3441779365699388
1987,Conifer,0.3446718135667255
1988,Conifer,0.345263675487111
1989,Conifer,0.3460543068239395
1990,Conifer,0.3469121278226642
1991,Conifer,0.3477783475291259
1992,Conifer,0.3484663279936128
1993,Conifer,0.3493138839051034
1994,Conifer,0.3498833492715235
1995,Conifer,0.3503921573042871
1996,Conifer,0.3507703187722527
1997,Conifer,0.3511951397276461
1998,Conifer,0.3517160792271411
1999,Conifer,0.3524049928813766
2000,Conifer,0.3530948397253607
2001,Conifer,0.3537090981997115
2002,Conifer,0.3543102920175826
2003,Conifer,0.354790171168141
2004,Conifer,0.3549676968401664
2005,Conifer,0.3551393434167759
2006,Conifer,0.355209552267717
2007,Conifer,0.3552630850178513
2008,Conifer,0.3553071645558329
2009,Conifer,0.3553073841756321
2010,Conifer,0.3553076037954314
2011,Conifer,0.3553166037954314
2012,Conifer,0.3395652567060897
2013,Conifer,0.3392361783362387
2014,Conifer,0.3393112244094351
2015,Conifer,0.3395150165701723
2016,Conifer,0.3394775574135332
2017,Conifer,0.3395014291837995
2018,Conifer,0.3397396516361698
2019,Conifer,0.34
2020,Conifer,0.34
1980,Broadleaf,0.8487576739458514
1981,Broadleaf,0.8494325635913076
1982,Broadleaf,0.8498097657069733
1983,Broadleaf,0.8503148148181918
1984,Broadleaf,0.8508049328934333
1985,Broadleaf,0.8512959841584233
1986,Broadleaf,0.8519335462139372
1987,Broadleaf,0.8528137376040761
1988,Broadleaf,0.8540149462677192
1989,Broadleaf,0.8550845751768155
1990,Broadleaf,0.8577023658787707
1991,Broadleaf,0.8610415122563617
1992,Broadleaf,0.8642080185304694
1993,Broadleaf,0.868279718860679
1994,Broadleaf,0.8736196240591798
1995,Broadleaf,0.8781037942582525
1996,Broadleaf,0.8820961734598345
1997,Broadleaf,0.8859915009275664
1998,Broadleaf,0.8895247507728578
1999,Broadleaf,0.89360764938005
2000,Broadleaf,0.8984436321143291
2001,Broadleaf,0.9033020114025738
2002,Broadleaf,0.907675132021568
2003,Broadleaf,0.9126613583053652
2004,Broadleaf,0.9167778517435056
2005,Broadleaf,0.9215559580495792
2006,Broadleaf,0.9248717746834562
2007,Broadleaf,0.9277572601966828
2008,Broadleaf,0.9301072254408016
2009,Broadleaf,0.9324305947770866
2010,Broadleaf,0.9345453962045686
2011,Broadleaf,0.9370683962045684
2012,Broadleaf,0.9581190632939104
2013,Broadleaf,0.9589880118627616
2014,Broadleaf,0.9626019125986772
2015,Broadleaf,0.9655232234660074
2016,Broadleaf,0.9658032542278064
2017,Broadleaf,0.9664270030030904
2018,Broadleaf,0.967690059146926
2019,Broadleaf,0.968
2020,Broadleaf,0.971
