Year,Category,Value
2010,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.207
2011,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.254
2012,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.205
2013,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.261
2014,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.134
2015,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.089
2016,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.209
2017,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.168
2018,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,1.129
2019,Total softwood & hardwood removals from the nation’s forests managed by Forestry England,0.967
2010,Total softwood & hardwood removals from other English sources,1.082
2011,Total softwood & hardwood removals from other English sources,1.143
2012,Total softwood & hardwood removals from other English sources,1.264
2013,Total softwood & hardwood removals from other English sources,1.321
2014,Total softwood & hardwood removals from other English sources,1.566
2015,Total softwood & hardwood removals from other English sources,1.481
2016,Total softwood & hardwood removals from other English sources,1.473
2017,Total softwood & hardwood removals from other English sources,1.527
2018,Total softwood & hardwood removals from other English sources,1.782
2019,Total softwood & hardwood removals from other English sources,1.921
