Year,Series,Source,Pollutant,Value
2016,H3a (interim),Larger industial sites,,1985.0
2017,H3a (interim),Larger industial sites,,1711.0
2018,H3a (interim),Larger industial sites,,1842.0
2016,H3a (interim),Crematoria,,590.0
2017,H3a (interim),Crematoria,,602.87
2018,H3a (interim),Crematoria,,622.55
2000,H3b (interim),,Dioxin-like Polychlorinated biphenyl,100.0
2000,H3b (interim),,Dioxins and Furans,100.0
2000,H3b (interim),,Hexachlorobenzene,100.0
2000,H3b (interim),,Polychlorinated biphenyl,100.0
2000,H3b (interim),,Polychlorinated naphthalenes,100.0
2000,H3b (interim),,Pentachlorophenol,100.0
2000,H3b (interim),,PentaChloroBenzine,100.0
2001,H3b (interim),,Dioxin-like Polychlorinated biphenyl,83.65934137914095
2001,H3b (interim),,Dioxins and Furans,98.86916069585509
2001,H3b (interim),,Hexachlorobenzene,87.86519198664439
2001,H3b (interim),,Polychlorinated biphenyl,83.05173618650554
2001,H3b (interim),,Polychlorinated naphthalenes,83.16831683168317
2001,H3b (interim),,Pentachlorophenol,94.54346931752616
2001,H3b (interim),,PentaChloroBenzine,73.16395841933424
2002,H3b (interim),,Dioxin-like Polychlorinated biphenyl,69.35087690569374
2002,H3b (interim),,Dioxins and Furans,95.06828414581246
2002,H3b (interim),,Hexachlorobenzene,82.66903171953254
2002,H3b (interim),,Polychlorinated biphenyl,69.41835073423229
2002,H3b (interim),,Polychlorinated naphthalenes,69.52597914658722
2002,H3b (interim),,Pentachlorophenol,89.35305091192292
2002,H3b (interim),,PentaChloroBenzine,62.87011671107441
2003,H3b (interim),,Dioxin-like Polychlorinated biphenyl,59.185812304518
2003,H3b (interim),,Dioxins and Furans,92.23370678952328
2003,H3b (interim),,Hexachlorobenzene,77.62938230383972
2003,H3b (interim),,Polychlorinated biphenyl,58.329817122257
2003,H3b (interim),,Polychlorinated naphthalenes,58.520984841847024
2003,H3b (interim),,Pentachlorophenol,84.56936901506116
2003,H3b (interim),,PentaChloroBenzine,43.89237062333471
2004,H3b (interim),,Dioxin-like Polychlorinated biphenyl,50.42576186811208
2004,H3b (interim),,Dioxins and Furans,92.6390737887604
2004,H3b (interim),,Hexachlorobenzene,98.65400667779632
2004,H3b (interim),,Polychlorinated biphenyl,49.60721156718081
2004,H3b (interim),,Polychlorinated naphthalenes,49.653903443441685
2004,H3b (interim),,Pentachlorophenol,79.98711483579177
2004,H3b (interim),,PentaChloroBenzine,37.45262130821481
2005,H3b (interim),,Dioxin-like Polychlorinated biphenyl,43.61561891037713
2005,H3b (interim),,Dioxins and Furans,83.81224477585148
2005,H3b (interim),,Hexachlorobenzene,94.24040066777962
2005,H3b (interim),,Polychlorinated biphenyl,42.21302265514551
2005,H3b (interim),,Polychlorinated naphthalenes,42.302637343380354
2005,H3b (interim),,Pentachlorophenol,75.59943181083129
2005,H3b (interim),,PentaChloroBenzine,32.31132960558411
2006,H3b (interim),,Dioxin-like Polychlorinated biphenyl,38.64525848658032
2006,H3b (interim),,Dioxins and Furans,75.6166514591716
2006,H3b (interim),,Hexachlorobenzene,87.90692821368948
2006,H3b (interim),,Polychlorinated biphenyl,36.06949866257553
2006,H3b (interim),,Polychlorinated naphthalenes,36.62490142819592
2006,H3b (interim),,Pentachlorophenol,71.38510340473645
2006,H3b (interim),,PentaChloroBenzine,28.61110068675648
2007,H3b (interim),,Dioxin-like Polychlorinated biphenyl,34.074459200550216
2007,H3b (interim),,Dioxins and Furans,71.67965536325968
2007,H3b (interim),,Hexachlorobenzene,75.19824707846409
2007,H3b (interim),,Polychlorinated biphenyl,31.15388298744878
2007,H3b (interim),,Polychlorinated naphthalenes,31.82335932708316
2007,H3b (interim),,Pentachlorophenol,67.34865753665675
2007,H3b (interim),,PentaChloroBenzine,25.37621495853192
2008,H3b (interim),,Dioxin-like Polychlorinated biphenyl,30.38793456367597
2008,H3b (interim),,Dioxins and Furans,72.5846259704127
2008,H3b (interim),,Hexachlorobenzene,70.65943238731218
2008,H3b (interim),,Polychlorinated biphenyl,26.93774836697676
2008,H3b (interim),,Polychlorinated naphthalenes,27.801629720494176
2008,H3b (interim),,Pentachlorophenol,63.55956542325695
2008,H3b (interim),,PentaChloroBenzine,23.17334033849964
2009,H3b (interim),,Dioxin-like Polychlorinated biphenyl,26.077505035452862
2009,H3b (interim),,Dioxins and Furans,68.89593585927334
2009,H3b (interim),,Hexachlorobenzene,49.770450751252085
2009,H3b (interim),,Polychlorinated biphenyl,22.821837614577124
2009,H3b (interim),,Polychlorinated naphthalenes,24.585998422851137
2009,H3b (interim),,Pentachlorophenol,59.94382792872279
2009,H3b (interim),,PentaChloroBenzine,20.17487897324276
2010,H3b (interim),,Dioxin-like Polychlorinated biphenyl,24.0948466438502
2010,H3b (interim),,Dioxins and Furans,70.91678757871748
2010,H3b (interim),,Hexachlorobenzene,47.69407345575961
2010,H3b (interim),,Polychlorinated biphenyl,20.034912420268927
2010,H3b (interim),,Polychlorinated naphthalenes,22.045036362043284
2010,H3b (interim),,Pentachlorophenol,56.477899873477
2010,H3b (interim),,PentaChloroBenzine,18.782602169099707
2011,H3b (interim),,Dioxin-like Polychlorinated biphenyl,22.052827222558825
2011,H3b (interim),,Dioxins and Furans,69.81885629665086
2011,H3b (interim),,Hexachlorobenzene,34.00459098497495
2011,H3b (interim),,Polychlorinated biphenyl,18.1447869839822
2011,H3b (interim),,Polychlorinated naphthalenes,19.872075703145537
2011,H3b (interim),,Pentachlorophenol,53.17575312232368
2011,H3b (interim),,PentaChloroBenzine,17.02255413367358
2012,H3b (interim),,Dioxin-like Polychlorinated biphenyl,20.85373442284704
2012,H3b (interim),,Dioxins and Furans,70.89734192930759
2012,H3b (interim),,Hexachlorobenzene,31.636060100166947
2012,H3b (interim),,Polychlorinated biphenyl,16.45586783724099
2012,H3b (interim),,Polychlorinated naphthalenes,18.58407079646018
2012,H3b (interim),,Pentachlorophenol,50.0080208853505
2012,H3b (interim),,PentaChloroBenzine,16.939993245018197
2013,H3b (interim),,Dioxin-like Polychlorinated biphenyl,20.321122701295295
2013,H3b (interim),,Dioxins and Furans,70.65053176372041
2013,H3b (interim),,Hexachlorobenzene,26.59641068447412
2013,H3b (interim),,Polychlorinated biphenyl,15.113323137111372
2013,H3b (interim),,Polychlorinated naphthalenes,17.29606588977482
2013,H3b (interim),,Pentachlorophenol,46.9642242639544
2013,H3b (interim),,PentaChloroBenzine,18.298495140165876
2014,H3b (interim),,Dioxin-like Polychlorinated biphenyl,18.90792080829253
2014,H3b (interim),,Dioxins and Furans,69.64534127114716
2014,H3b (interim),,Hexachlorobenzene,31.32303839732888
2014,H3b (interim),,Polychlorinated biphenyl,13.975682674355868
2014,H3b (interim),,Polychlorinated naphthalenes,17.015683869271882
2014,H3b (interim),,Pentachlorophenol,44.04384578166115
2014,H3b (interim),,PentaChloroBenzine,18.34352835215972
2015,H3b (interim),,Dioxin-like Polychlorinated biphenyl,16.481078160053713
2015,H3b (interim),,Dioxins and Furans,70.11353267617011
2015,H3b (interim),,Hexachlorobenzene,35.016694490818026
2015,H3b (interim),,Polychlorinated biphenyl,12.98425337959245
2015,H3b (interim),,Polychlorinated naphthalenes,18.15473582756506
2015,H3b (interim),,Pentachlorophenol,41.237700231053246
2015,H3b (interim),,PentaChloroBenzine,17.469133485945882
2016,H3b (interim),,Dioxin-like Polychlorinated biphenyl,13.243241030343722
2016,H3b (interim),,Dioxins and Furans,68.88995258253183
2016,H3b (interim),,Hexachlorobenzene,42.17445742904841
