Year,Series,Raw material,Value
2001,J2a,Non-metallic mineral materials,8.366478972525094
2002,J2a,Non-metallic mineral materials,8.519020465616887
2003,J2a,Non-metallic mineral materials,8.852615682547187
2004,J2a,Non-metallic mineral materials,9.67151963316143
2005,J2a,Non-metallic mineral materials,9.768821773419392
2006,J2a,Non-metallic mineral materials,9.710911675984692
2007,J2a,Non-metallic mineral materials,10.103238176011578
2008,J2a,Non-metallic mineral materials,8.976412742569112
2009,J2a,Non-metallic mineral materials,7.159566139335133
2010,J2a,Non-metallic mineral materials,7.939742107860838
2011,J2a,Non-metallic mineral materials,7.955823519598769
2012,J2a,Non-metallic mineral materials,7.549722090450252
2013,J2a,Non-metallic mineral materials,8.268827983385162
2014,J2a,Non-metallic mineral materials,8.631619287600817
2015,J2a,Non-metallic mineral materials,9.013104994274988
2016,J2a,Non-metallic mineral materials,8.487032013654822
2017,J2a,Non-metallic mineral materials,8.492832065210845
2001,J2a,Metal ores,1.3722834247507405
2002,J2a,Metal ores,1.4147603973386165
2003,J2a,Metal ores,1.4406366326090254
2004,J2a,Metal ores,1.461600381467598
2005,J2a,Metal ores,1.3873796753789704
2006,J2a,Metal ores,1.5075819706402045
2007,J2a,Metal ores,1.5559846869401437
2008,J2a,Metal ores,1.4213194462793766
2009,J2a,Metal ores,1.241582020969295
2010,J2a,Metal ores,1.2865523953355429
2011,J2a,Metal ores,1.2789406071923692
2012,J2a,Metal ores,1.386494668810634
2013,J2a,Metal ores,1.4355971638025264
2014,J2a,Metal ores,1.3646155144468248
2015,J2a,Metal ores,1.4072103935049796
2016,J2a,Metal ores,1.3109226347547165
2017,J2a,Metal ores,1.3279245615095208
2001,J2a,Biomass,4.497399774007939
2002,J2a,Biomass,4.819043941390689
2003,J2a,Biomass,4.733127274506539
2004,J2a,Biomass,5.139837933910765
2005,J2a,Biomass,4.926380507294232
2006,J2a,Biomass,4.80351933615725
2007,J2a,Biomass,4.6510922760211
2008,J2a,Biomass,4.522269377428204
2009,J2a,Biomass,4.3732795542941885
2010,J2a,Biomass,4.395455303013444
2011,J2a,Biomass,4.471740171938713
2012,J2a,Biomass,4.519530089013695
2013,J2a,Biomass,4.587773079158161
2014,J2a,Biomass,4.858178507432695
2015,J2a,Biomass,5.103087354329095
2016,J2a,Biomass,4.713831249648875
2017,J2a,Biomass,4.840016327443188
2001,J2b,,1.6289281761187973
2002,J2b,,1.6010478573169464
2003,J2b,,1.618999982010382
2004,J2b,,1.5193386322225515
2005,J2b,,1.5800457992822488
2006,J2b,,1.615954449131561
2007,J2b,,1.6192936728585734
2008,J2b,,1.7562718289189656
2009,J2b,,1.9468215553498407
2010,J2b,,1.849078929839656
2011,J2b,,1.8527928840429169
2012,J2b,,1.905400681667521
2013,J2b,,1.809088340114684
2014,J2b,,1.7873144722791714
2015,J2b,,1.7398372059877094
2016,J2b,,1.8818365590983093
2017,J2b,,1.8877285211250288
