Year,Reporting type,Value
2000/01,Household waste recycling rate (2000/01 to 2010/11),11.2
2001/02,Household waste recycling rate (2000/01 to 2010/11),12.5
2002/03,Household waste recycling rate (2000/01 to 2010/11),14.5
2003/04,Household waste recycling rate (2000/01 to 2010/11),17.8
2004/05,Household waste recycling rate (2000/01 to 2010/11),22.5
2005/06,Household waste recycling rate (2000/01 to 2010/11),26.7
2006/07,Household waste recycling rate (2000/01 to 2010/11),30.9
2007/08,Household waste recycling rate (2000/01 to 2010/11),34.5
2008/09,Household waste recycling rate (2000/01 to 2010/11),37.6
2009/10,Household waste recycling rate (2000/01 to 2010/11),39.7
2010/11,Household waste recycling rate (2000/01 to 2010/11),41.5
2010/11,Waste from households recycling rate (2010/11 to 2019/20),41.9
2011/12,Waste from households recycling rate (2010/11 to 2019/20),43.3
2012/13,Waste from households recycling rate (2010/11 to 2019/20),43.9
2013/14,Waste from households recycling rate (2010/11 to 2019/20),44.5
2014/15,Waste from households recycling rate (2010/11 to 2019/20),44.7
2015/16,Waste from households recycling rate (2010/11 to 2019/20),44.4
2016/17,Waste from households recycling rate (2010/11 to 2019/20),45.1
2017/18,Waste from households recycling rate (2010/11 to 2019/20),44.8
2018/19,Waste from households recycling rate (2010/11 to 2019/20),45.1
2019/20,Waste from households recycling rate (2010/11 to 2019/20),45.5
