Year,Waste type,Value
2010,Landfill,25.734955419000006
2011,Landfill,
2012,Landfill,22.35170309200001
2013,Landfill,
2014,Landfill,18.659571378999985
2015,Landfill,
2016,Landfill,15.802853055000003
2017,Landfill,
2018,Landfill,14.632433653
2019,Landfill,14.526694560490993
2010,Incineration,5.96855221
2011,Incineration,
2012,Incineration,7.036313
2013,Incineration,
2014,Incineration,8.597861
2015,Incineration,
2016,Incineration,11.639106
2017,Incineration,
2018,Incineration,14.346646
2019,Incineration,15.288996618920002
