Year,Value,Series
2005,74.9505817409298,K1i (interim)
2006,83.0387966830247,K1i (interim)
2007,71.5932087549943,K1i (interim)
2008,61.2193894300221,K1i (interim)
2009,53.8469045794297,K1i (interim)
2010,51.613619944774,K1i (interim)
2011,45.2531075599,K1i (interim)
2012,52.9732795945286,K1i (interim)
2013,41.4394910746189,K1i (interim)
2014,39.6048627679937,K1i (interim)
2015,35.6634487417824,K1i (interim)
2016,33.0146433865705,K1i (interim)
2017,31.1255167604321,K1i (interim)
2005,709.157194356474,K1ii (interim)
2006,697.968179641102,K1ii (interim)
2007,571.581066369556,K1ii (interim)
2008,518.190287535397,K1ii (interim)
2009,487.083490238978,K1ii (interim)
2010,516.972610779266,K1ii (interim)
2011,489.605484714798,K1ii (interim)
2012,505.040552649687,K1ii (interim)
2013,455.741311699496,K1ii (interim)
2014,441.68551025744,K1ii (interim)
2015,460.079363662168,K1ii (interim)
2016,361.913299923881,K1ii (interim)
2017,366.939946463987,K1ii (interim)
