Year,Value
1973,100.0
1974,97.02446137783686
1975,96.74653065340196
1976,98.2718076008926
1977,97.92577038157224
1978,98.42231181852578
1979,100.46010400798464
1980,98.6338315162072
1981,96.88154542784171
1982,100.58753854637474
1983,101.90848799265656
1984,100.75852034407016
1985,101.40610087333415
1986,101.91923990758696
1987,101.7280736918386
1988,102.19548786112524
1989,100.59033488204012
1990,99.55260482734924
1991,98.89239516870292
1992,98.05430527733408
1993,97.97837684937328
1994,98.84047066840324
1995,100.09431303328178
1996,99.9321733953426
1997,98.80598174043584
1998,96.2747880367954
1999,93.69254652971858
2000,88.88553855024817
2001,87.25753607736291
2002,85.32878267729303
2003,84.33118263915456
2004,84.70528467662898
2005,83.21997053409082
2006,81.77042966949489
2007,82.33535998860889
2008,82.5811482669655
2009,82.99042938186865
2010,84.42603956242903
2011,84.2997417065371
2012,84.36082942727249
2013,85.60826054709617
2014,86.43425033444791
2015,87.35364004703005
2016,87.68033503720352
2017,88.10861386324468
2018,87.48943375618575
2019,87.30123461047677
