year,measure,value
1990,Unsmoothed index,100.0
1991,Unsmoothed index,119.94
1992,Unsmoothed index,125.31
1993,Unsmoothed index,75.335
1994,Unsmoothed index,89.742
1995,Unsmoothed index,104.95
1996,Unsmoothed index,116.41
1997,Unsmoothed index,132.73
1998,Unsmoothed index,99.77
1999,Unsmoothed index,89.536
2000,Unsmoothed index,94.406
2001,Unsmoothed index,87.297
2002,Unsmoothed index,85.901
2003,Unsmoothed index,105.92
2004,Unsmoothed index,103.99
2005,Unsmoothed index,91.411
2006,Unsmoothed index,92.257
2007,Unsmoothed index,68.548
2008,Unsmoothed index,64.863
2009,Unsmoothed index,93.11
2010,Unsmoothed index,95.719
2011,Unsmoothed index,87.297
2012,Unsmoothed index,53.703
2013,Unsmoothed index,104.23
2014,Unsmoothed index,101.15
2015,Unsmoothed index,93.325
2016,Unsmoothed index,70.631
2017,Unsmoothed index,89.33
2018,Unsmoothed index,109.9
2019,Unsmoothed index,109.9
2020,Unsmoothed index,101.15
2021,Unsmoothed index,86.896
1990,Smoothed index,109.129
1991,Smoothed index,107.93
1992,Smoothed index,106.716
1993,Smoothed index,105.49
1994,Smoothed index,104.287
1995,Smoothed index,103.093
1996,Smoothed index,101.87
1997,Smoothed index,100.582
1998,Smoothed index,99.219
1999,Smoothed index,97.82
2000,Smoothed index,96.428
2001,Smoothed index,95.071
2002,Smoothed index,93.773
2003,Smoothed index,92.547
2004,Smoothed index,91.392
2005,Smoothed index,90.33
2006,Smoothed index,89.401
2007,Smoothed index,88.65
2008,Smoothed index,88.124
2009,Smoothed index,87.839
2010,Smoothed index,87.773
2011,Smoothed index,87.911
2012,Smoothed index,88.253
2013,Smoothed index,88.797
2014,Smoothed index,89.485
2015,Smoothed index,90.285
2016,Smoothed index,91.181
2017,Smoothed index,92.166
2018,Smoothed index,93.198
2019,Smoothed index,94.228
2020,Smoothed index,95.238
2021,Smoothed index,96.232
1990,95% confidence interval lower bound,95.213
1991,95% confidence interval lower bound,95.81524
1992,95% confidence interval lower bound,96.05752
1993,95% confidence interval lower bound,95.94284
1994,95% confidence interval lower bound,95.52972
1995,95% confidence interval lower bound,94.85316
1996,95% confidence interval lower bound,93.93788
1997,95% confidence interval lower bound,92.81256
1998,95% confidence interval lower bound,91.52012
1999,95% confidence interval lower bound,90.14072
2000,95% confidence interval lower bound,88.74676
2001,95% confidence interval lower bound,87.378
2002,95% confidence interval lower bound,86.06824
2003,95% confidence interval lower bound,84.8344
2004,95% confidence interval lower bound,83.67352
2005,95% confidence interval lower bound,82.60956
2006,95% confidence interval lower bound,81.68056
2007,95% confidence interval lower bound,80.93152
2008,95% confidence interval lower bound,80.4114
2009,95% confidence interval lower bound,80.13424
2010,95% confidence interval lower bound,80.08
2011,95% confidence interval lower bound,80.22976
2012,95% confidence interval lower bound,80.57372
2013,95% confidence interval lower bound,81.09812
2014,95% confidence interval lower bound,81.7136
2015,95% confidence interval lower bound,82.34895999999999
2016,95% confidence interval lower bound,82.93332
2017,95% confidence interval lower bound,83.395
2018,95% confidence interval lower bound,83.62928
2019,95% confidence interval lower bound,83.53815999999999
2020,95% confidence interval lower bound,83.08208
2021,95% confidence interval lower bound,82.26504
1990,95% confidence interval upper bound,123.045
1991,95% confidence interval upper bound,120.04476
1992,95% confidence interval upper bound,117.37448
1993,95% confidence interval upper bound,115.03716
1994,95% confidence interval upper bound,113.04428
1995,95% confidence interval upper bound,111.33284
1996,95% confidence interval upper bound,109.80212
1997,95% confidence interval upper bound,108.35144
1998,95% confidence interval upper bound,106.91788
1999,95% confidence interval upper bound,105.49928
2000,95% confidence interval upper bound,104.10924
2001,95% confidence interval upper bound,102.764
2002,95% confidence interval upper bound,101.47776
2003,95% confidence interval upper bound,100.2596
2004,95% confidence interval upper bound,99.11048
2005,95% confidence interval upper bound,98.05044
2006,95% confidence interval upper bound,97.12144
2007,95% confidence interval upper bound,96.36848
2008,95% confidence interval upper bound,95.8366
2009,95% confidence interval upper bound,95.54376
2010,95% confidence interval upper bound,95.466
2011,95% confidence interval upper bound,95.59224
2012,95% confidence interval upper bound,95.93228
2013,95% confidence interval upper bound,96.49588
2014,95% confidence interval upper bound,97.2564
2015,95% confidence interval upper bound,98.22104
2016,95% confidence interval upper bound,99.42868
2017,95% confidence interval upper bound,100.937
2018,95% confidence interval upper bound,102.76672
2019,95% confidence interval upper bound,104.91784
2020,95% confidence interval upper bound,107.39392
2021,95% confidence interval upper bound,110.19896
