indicator_component,subcomponent,direction, change,smooth,value_column_name,time_column_name,subcomponent_column_name,user_defined,user_defined_subcomponent,pre-smoothed,short,medium,long,start_year,last_year_used
A1,A1i,decrease,,TRUE,index,year,pollutant,TRUE,NH3,,,,,,
A1,A1ii,decrease,,TRUE,index,year,pollutant,TRUE,NMVOC,,,,,,
A1,A1iii,decrease,,TRUE,index,year,pollutant,TRUE,NOx,,,,,,
A1,A1iv,decrease,,TRUE,index,year,pollutant,TRUE,PM2.5,,,,,,
A1,A1v,decrease,,TRUE,index,year,pollutant,TRUE,SO2,,,,,,
A2,A2,decrease,,TRUE,value,year,,FALSE,?,,,,,,
A3,A3,decrease,,TRUE,value,year,,FALSE,,,TRUE,FALSE,FALSE,,
A4,A4,decrease,,TRUE,value,year,measure,TRUE,Annual average maximum daily 8-hour mean O3 concentration (µg/m3),,,,,,
A5,A5,decrease,,TRUE,value,year,measure,TRUE,Annual Mean NO2 concentration (µg/m3),,,,,,
A6,A6,decrease,,FALSE,value,year,,FALSE,,,,,,,TRUE
A7,A7,decrease,,FALSE,value,year,,FALSE,,,,,,,TRUE
B2,B2,decrease,,TRUE,value,year,,FALSE,,,,,,,
B4,B4,increase,,TRUE,value,year,condition,TRUE,Excellent,,,,,2015,
B4,B4,increase,,TRUE,value,year,condition,TRUE,Good,,,,,2015,
B4,B4,increase,,TRUE,value,year,condition,TRUE,Sufficient,,,,,2015,
B7a,B7a,increase,,TRUE,value,year,status,TRUE,Not at Risk,,,,,,
B7a,B7a,increase,,TRUE,value,year,status,TRUE,Probably not at Risk,,,,,,
B7b,B7b,increase,,TRUE,value,year,classification,TRUE,High,,TRUE,FALSE,FALSE,,
B7b,B7b,increase,,TRUE,value,year,classification,TRUE,Good,,TRUE,FALSE,FALSE,,
C1a,C1ai,decrease,,TRUE,value,year,area,TRUE,Celtic Seas,,,,,,
C1a,C1aii,decrease,,TRUE,value,year,area,TRUE,Greater North Sea,,,,,,
C1b,C1b,decrease,,FALSE,value,year,,FALSE,,,,,,,
C3ai,C3aia,increase,,TRUE,value,year,area,TRUE,North-east England,,,,,,
