year,pollutant,index
2005,NOx,100.0
2005,PM2.5,100.0
2005,SO2,100.0
2005,NMVOCs,100.0
2005,NH3,100.0
2006,NOx,96.10562937596345
2006,PM2.5,98.51702811579072
2006,SO2,91.15223947820245
2006,NMVOCs,94.9171576733577
2006,NH3,99.61842682610194
2007,NOx,92.96933792454308
2007,PM2.5,90.66157668957902
2007,SO2,81.24348545655518
2007,NMVOCs,90.68713142522785
2007,NH3,97.90435327793264
2008,NOx,81.47450810028386
2008,PM2.5,84.52655485194958
2008,SO2,67.74825242522714
2008,NMVOCs,82.98384481362562
2008,NH3,91.8994270320929
2009,NOx,70.7594629479397
2009,PM2.5,77.73558934396266
2009,SO2,55.04401025215982
2009,NMVOCs,74.20951644148096
2009,NH3,93.46299676313282
2010,NOx,68.77690471449611
2010,PM2.5,80.25170102587896
2010,SO2,54.33693603232811
2010,NMVOCs,70.88852247966479
2010,NH3,93.93498181552836
2011,NOx,64.81467868117467
2011,PM2.5,75.42044126402261
2011,SO2,53.10161798130639
2011,NMVOCs,68.33794312859446
2011,NH3,93.90143655011768
2012,NOx,66.3757005130919
2012,PM2.5,76.25742149888364
2012,SO2,62.036286511358696
2012,NMVOCs,66.11977231554164
2012,NH3,93.33522816309112
2013,NOx,62.72603339536767
2013,PM2.5,77.590042066878
2013,SO2,52.81721979180919
2013,NMVOCs,63.80481448880386
2013,NH3,91.15007394181264
2014,NOx,58.30068142401568
2014,PM2.5,75.21993903224788
2014,SO2,43.39228112473568
2014,NMVOCs,62.47847633736829
2014,NH3,95.28920651963934
2015,NOx,54.98829107208832
2015,PM2.5,73.75249803853492
2015,SO2,32.85609385894678
2015,NMVOCs,61.98367790557264
2015,NH3,95.5185547722152
2016,NOx,49.27412225824989
2016,PM2.5,71.82159045761166
2016,SO2,23.51727507170689
2016,NMVOCs,60.42345479418487
2016,NH3,95.80130921325784
2017,NOx,48.06237767387782
2017,PM2.5,72.90447038806658
2017,SO2,23.5091779070268
2017,NMVOCs,60.57842056501603
2017,NH3,97.09998546293342
2018,NOx,46.12562497127004
2018,PM2.5,75.28373365294495
2018,SO2,21.512531514135645
2018,NMVOCs,60.87243287025598
2018,NH3,95.61924163963796
2019,NOx,42.46611038186026
2019,PM2.5,72.1809647526058
2019,SO2,18.471911073991013
2019,NMVOCs,59.78558073429644
2019,NH3,94.86819668537385
2020,NOx,35.91384549521523
2020,PM2.5,67.75914305308378
2020,SO2,16.08053071437495
2020,NMVOCs,58.25674037846076
2020,NH3,90.49439905077806
2021,NOx,36.43211287394188
2021,PM2.5,71.78082300726494
2021,SO2,15.145609550946922
2021,NMVOCs,57.28184557138776
2021,NH3,92.39849059553188
