year,annual mean,value
2009,9 µg/m3,3
2009,10 µg/m3,1
2009,11 µg/m3,4
2009,12 µg/m3,5
2009,13 µg/m3,6
2009,14 µg/m3,8
2009,15 µg/m3,2
2009,16 µg/m3,1
2009,18 µg/m3,1
2010,9 µg/m3,4
2010,10 µg/m3,3
2010,11 µg/m3,3
2010,12 µg/m3,1
2010,13 µg/m3,5
2010,14 µg/m3,7
2010,15 µg/m3,4
2010,16 µg/m3,4
2010,17 µg/m3,4
2010,19 µg/m3,1
2011,10 µg/m3,2
2011,11 µg/m3,2
2011,12 µg/m3,5
2011,13 µg/m3,3
2011,14 µg/m3,6
2011,15 µg/m3,3
2011,16 µg/m3,10
2011,17 µg/m3,3
2011,19 µg/m3,2
2011,24 µg/m3,1
2012,9 µg/m3,1
2012,10 µg/m3,4
2012,11 µg/m3,8
2012,12 µg/m3,5
2012,13 µg/m3,8
2012,14 µg/m3,6
2012,15 µg/m3,4
2012,16 µg/m3,5
2012,17 µg/m3,2
2012,18 µg/m3,1
2012,21 µg/m3,1
2013,9 µg/m3,4
2013,10 µg/m3,4
2013,11 µg/m3,5
2013,12 µg/m3,8
2013,13 µg/m3,8
2013,14 µg/m3,6
2013,15 µg/m3,4
2013,16 µg/m3,3
2013,17 µg/m3,1
2013,18 µg/m3,1
2013,20 µg/m3,1
2014,8 µg/m3,1
2014,9 µg/m3,2
2014,10 µg/m3,2
2014,11 µg/m3,5
2014,12 µg/m3,8
2014,13 µg/m3,7
2014,14 µg/m3,7
2014,15 µg/m3,3
2014,16 µg/m3,1
2014,18 µg/m3,1
2015,7 µg/m3,5
2015,8 µg/m3,1
2015,9 µg/m3,6
2015,10 µg/m3,16
2015,11 µg/m3,11
2015,12 µg/m3,9
2015,13 µg/m3,1
2015,15 µg/m3,1
2015,16 µg/m3,1
2016,7 µg/m3,2
2016,8 µg/m3,3
2016,9 µg/m3,5
2016,10 µg/m3,13
2016,11 µg/m3,10
2016,12 µg/m3,11
2016,13 µg/m3,2
2016,15 µg/m3,1
2016,16 µg/m3,1
2017,7 µg/m3,6
2017,8 µg/m3,5
2017,9 µg/m3,11
2017,10 µg/m3,8
2017,11 µg/m3,13
2017,12 µg/m3,4
2017,14 µg/m3,1
2017,15 µg/m3,1
2017,16 µg/m3,1
2018,7 µg/m3,1
2018,8 µg/m3,3
2018,9 µg/m3,13
2018,10 µg/m3,14
2018,11 µg/m3,9
2018,12 µg/m3,6
2018,13 µg/m3,1
2018,14 µg/m3,1
2018,15 µg/m3,1
2018,16 µg/m3,1
2019,8 µg/m3,6
2019,9 µg/m3,14
2019,10 µg/m3,14
2019,11 µg/m3,13
2019,12 µg/m3,7
2019,13 µg/m3,1
2019,14 µg/m3,2
2019,15 µg/m3,1
2020,6 µg/m3,1
2020,7 µg/m3,11
2020,8 µg/m3,25
2020,9 µg/m3,11
2020,10 µg/m3,6
2020,11 µg/m3,2
2020,12 µg/m3,1
2021,6 µg/m3,1
2021,7 µg/m3,16
2021,8 µg/m3,17
2021,9 µg/m3,11
2021,10 µg/m3,2
2021,11 µg/m3,2
2021,12 µg/m3,2
2021,13 µg/m3,1
2022,7 µg/m3,6
2022,8 µg/m3,19
2022,9 µg/m3,18
2022,10 µg/m3,6
2022,11 µg/m3,4
2022,12 µg/m3,2
2023,4 µg/m3,1
2023,5 µg/m3,1
2023,6 µg/m3,9
2023,7 µg/m3,28
2023,8 µg/m3,24
2023,9 µg/m3,6
2023,10 µg/m3,4
2023,12 µg/m3,1
