year,measure,value
1997,Annual mean NO2 concentration,59.7150881895361
1998,Annual mean NO2 concentration,58.2421847401745
1999,Annual mean NO2 concentration,61.3486972955186
2000,Annual mean NO2 concentration,56.4165323749898
2001,Annual mean NO2 concentration,54.2851679382296
2002,Annual mean NO2 concentration,51.7460264579612
2003,Annual mean NO2 concentration,58.4535310530144
2004,Annual mean NO2 concentration,55.5277125350862
2005,Annual mean NO2 concentration,57.8571404880921
2006,Annual mean NO2 concentration,58.249537457326
2007,Annual mean NO2 concentration,59.0593623602558
2008,Annual mean NO2 concentration,53.4815790715562
2009,Annual mean NO2 concentration,48.0721795830657
2010,Annual mean NO2 concentration,47.9592403469598
2011,Annual mean NO2 concentration,43.8786467751698
2012,Annual mean NO2 concentration,42.5531736739609
2013,Annual mean NO2 concentration,41.0290040437522
2014,Annual mean NO2 concentration,40.0199909267891
2015,Annual mean NO2 concentration,35.9040574528848
2016,Annual mean NO2 concentration,37.8314501026157
2017,Annual mean NO2 concentration,33.2629084881828
2018,Annual mean NO2 concentration,32.2916744882663
2019,Annual mean NO2 concentration,30.3998643529547
2020,Annual mean NO2 concentration,23.0021429743374
2021,Annual mean NO2 concentration,24.6496947146002
2022,Annual mean NO2 concentration,23.7935607630583
2023,Annual mean NO2 concentration,22.0772748505012
1997,95% confidence interval upper bound,68.83287296319082
1998,95% confidence interval upper bound,68.01916883678724
1999,95% confidence interval upper bound,70.00708570314492
2000,95% confidence interval upper bound,64.79222570234055
2001,95% confidence interval upper bound,61.46574430377335
2002,95% confidence interval upper bound,59.20644443272396
2003,95% confidence interval upper bound,68.9673527202994
2004,95% confidence interval upper bound,65.01648245530552
2005,95% confidence interval upper bound,67.30473006257895
2006,95% confidence interval upper bound,68.7829713252888
2007,95% confidence interval upper bound,70.4400561172975
2008,95% confidence interval upper bound,64.5095480323298
2009,95% confidence interval upper bound,57.16764038068
2010,95% confidence interval upper bound,56.5659489659537
2011,95% confidence interval upper bound,52.72405210162684
2012,95% confidence interval upper bound,50.55379318470644
2013,95% confidence interval upper bound,48.80016628302673
2014,95% confidence interval upper bound,48.88336059275075
2015,95% confidence interval upper bound,42.09526962025977
2016,95% confidence interval upper bound,42.8147042242538
2017,95% confidence interval upper bound,36.95951498725097
2018,95% confidence interval upper bound,35.92340882326284
2019,95% confidence interval upper bound,33.13475110245202
2020,95% confidence interval upper bound,25.04584796547965
2021,95% confidence interval upper bound,26.75729146374735
2022,95% confidence interval upper bound,25.982588690632028
2023,95% confidence interval upper bound,24.19878348147682
1997,95% confidence interval lower bound,50.59730341588137
1998,95% confidence interval lower bound,48.46520064356176
1999,95% confidence interval lower bound,52.69030888789228
2000,95% confidence interval lower bound,48.04083904763906
2001,95% confidence interval lower bound,47.10459157268585
2002,95% confidence interval lower bound,44.28560848319844
2003,95% confidence interval lower bound,47.9397093857294
2004,95% confidence interval lower bound,46.03894261486688
2005,95% confidence interval lower bound,48.40955091360524
2006,95% confidence interval lower bound,47.7161035893632
2007,95% confidence interval lower bound,47.6786686032141
2008,95% confidence interval lower bound,42.4536101107826
2009,95% confidence interval lower bound,38.9767187854514
2010,95% confidence interval lower bound,39.3525317279659
2011,95% confidence interval lower bound,35.03324144871276
2012,95% confidence interval lower bound,34.55255416321536
2013,95% confidence interval lower bound,33.25784180447767
2014,95% confidence interval lower bound,31.15662126082745
2015,95% confidence interval lower bound,29.71284528550983
2016,95% confidence interval lower bound,32.8481959809776
2017,95% confidence interval lower bound,29.56630198911463
2018,95% confidence interval lower bound,28.65994015326976
2019,95% confidence interval lower bound,27.66497760345738
2020,95% confidence interval lower bound,20.95843798319515
2021,95% confidence interval lower bound,22.542097965453053
2022,95% confidence interval lower bound,21.60453283548457
2023,95% confidence interval lower bound,19.955766219525582
