year,source,value
2016,Crematoria,410.3099347905
2017,Crematoria,384.4355439996
2018,Crematoria,361.8666768538
2019,Crematoria,337.19386486120004
2020,Crematoria,368.045700825
2021,Crematoria,329.3730870147
2022,Crematoria,309.75431101439995
2016,Larger industrial sites,1409.30926149752
2017,Larger industrial sites,1346.6586200520003
2018,Larger industrial sites,1649.879675254
2019,Larger industrial sites,1129.2614268050004
2020,Larger industrial sites,1110.6313824999995
2021,Larger industrial sites,1215.8890078999991
2022,Larger industrial sites,1244.1745335999997
