year,pollutant,value
2000,Dioxin-like Polychlorinated Biphenyls,100.0
2001,Dioxin-like Polychlorinated Biphenyls,88.1120091803472
2002,Dioxin-like Polychlorinated Biphenyls,77.00461672588656
2003,Dioxin-like Polychlorinated Biphenyls,69.56509084157766
2004,Dioxin-like Polychlorinated Biphenyls,62.61789890104823
2005,Dioxin-like Polychlorinated Biphenyls,58.166843086823896
2006,Dioxin-like Polychlorinated Biphenyls,53.58694137207795
2007,Dioxin-like Polychlorinated Biphenyls,49.67190945698458
2008,Dioxin-like Polychlorinated Biphenyls,46.23783683687258
2009,Dioxin-like Polychlorinated Biphenyls,41.44920910797994
2010,Dioxin-like Polychlorinated Biphenyls,33.77889131673464
2011,Dioxin-like Polychlorinated Biphenyls,37.51507755890528
2012,Dioxin-like Polychlorinated Biphenyls,36.07951290330684
2013,Dioxin-like Polychlorinated Biphenyls,34.46456541613276
2014,Dioxin-like Polychlorinated Biphenyls,32.55384903226238
2015,Dioxin-like Polychlorinated Biphenyls,29.61749449651376
2016,Dioxin-like Polychlorinated Biphenyls,25.95119964212084
2017,Dioxin-like Polychlorinated Biphenyls,24.941507751729496
2018,Dioxin-like Polychlorinated Biphenyls,23.930115054036527
2019,Dioxin-like Polychlorinated Biphenyls,23.00257469464544
2020,Dioxin-like Polychlorinated Biphenyls,22.258226154574007
2021,Dioxin-like Polychlorinated Biphenyls,21.67403933093696
2000,Dioxins and Furans,100.0
2001,Dioxins and Furans,97.42363300839042
2002,Dioxins and Furans,92.4486992247643
2003,Dioxins and Furans,88.0808873643026
2004,Dioxins and Furans,87.33489834172782
2005,Dioxins and Furans,75.8328993530929
2006,Dioxins and Furans,65.44647310260576
2007,Dioxins and Furans,59.0682289276635
2008,Dioxins and Furans,57.382892701484586
2009,Dioxins and Furans,52.07485108835174
2010,Dioxins and Furans,51.89013151826687
2011,Dioxins and Furans,48.23196924038881
2012,Dioxins and Furans,46.230292052370494
2013,Dioxins and Furans,45.78287698775958
2014,Dioxins and Furans,45.8528749772484
2015,Dioxins and Furans,44.83027777224412
2016,Dioxins and Furans,43.31027101467998
2017,Dioxins and Furans,43.09367105387015
2018,Dioxins and Furans,43.08928135110274
2019,Dioxins and Furans,42.10949172814738
2020,Dioxins and Furans,40.31974912972437
2021,Dioxins and Furans,38.85795663832542
2000,Hexachlorobenzene,100.0
2001,Hexachlorobenzene,87.96013809844204
2002,Hexachlorobenzene,82.77708428447563
2003,Hexachlorobenzene,77.6377058080941
2004,Hexachlorobenzene,98.60196975425512
2005,Hexachlorobenzene,94.16218739355496
2006,Hexachlorobenzene,87.9213432414017
2007,Hexachlorobenzene,74.9926454948511
2008,Hexachlorobenzene,70.17613669675242
2009,Hexachlorobenzene,49.55158996866566
2010,Hexachlorobenzene,47.6528342728904
2011,Hexachlorobenzene,33.88286308291096
2012,Hexachlorobenzene,31.428798633324146
2013,Hexachlorobenzene,26.25434834632043
2014,Hexachlorobenzene,30.84123124323597
2015,Hexachlorobenzene,34.76330260788917
2016,Hexachlorobenzene,41.80897121646902
2017,Hexachlorobenzene,45.4984172866494
2018,Hexachlorobenzene,48.06440369902484
2019,Hexachlorobenzene,46.73784858397951
2020,Hexachlorobenzene,43.81242121677579
2021,Hexachlorobenzene,41.75298937917007
2000,Polychlorinated Biphenyls,100.0
2001,Polychlorinated Biphenyls,88.76470613670385
2002,Polychlorinated Biphenyls,79.38567274431408
2003,Polychlorinated Biphenyls,71.56904073764746
2004,Polychlorinated Biphenyls,65.16911712294318
2005,Polychlorinated Biphenyls,60.373998730193534
2006,Polychlorinated Biphenyls,54.46126746308903
2007,Polychlorinated Biphenyls,50.29595488429486
2008,Polychlorinated Biphenyls,46.41864102508296
2009,Polychlorinated Biphenyls,42.41792925764947
2010,Polychlorinated Biphenyls,39.64634356848858
2011,Polychlorinated Biphenyls,37.681160497778
2012,Polychlorinated Biphenyls,35.78298824893523
2013,Polychlorinated Biphenyls,34.24987970857281
2014,Polychlorinated Biphenyls,32.87671011376015
2015,Polychlorinated Biphenyls,31.62233880871317
2016,Polychlorinated Biphenyls,30.22712568309155
2017,Polychlorinated Biphenyls,29.36987565450752
2018,Polychlorinated Biphenyls,28.69273914380393
2019,Polychlorinated Biphenyls,27.98348511192209
