Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
H3b,Dioxin-like Polychlorinated Biphenyls,Short term,2017 to 2022,-39.6161472570632,Loess,Improvement
H3b,Dioxin-like Polychlorinated Biphenyls,Medium term,2012 to 2022,-65.67172931643258,Loess,Improvement
H3b,Dioxin-like Polychlorinated Biphenyls,Long term,2000 to 2022,-91.88050947359315,Loess,Improvement
H3b,Dioxins and Furans,Short term,2017 to 2022,-4.151637748771136,Loess,Improvement
H3b,Dioxins and Furans,Medium term,2012 to 2022,-11.224904297258215,Loess,Improvement
H3b,Dioxins and Furans,Long term,2000 to 2022,-60.44432287807111,Loess,Improvement
H3b,Hexachlorobenzene,Short term,2017 to 2022,26.22517166342847,Loess,Deterioration
H3b,Hexachlorobenzene,Medium term,2012 to 2022,43.82588165179956,Loess,Deterioration
H3b,Hexachlorobenzene,Long term,2000 to 2022,-46.155754657979756,Loess,Improvement
H3b,Pentachlorobenzine,Short term,2017 to 2022,-9.2891395962081,Loess,Improvement
H3b,Pentachlorobenzine,Medium term,2012 to 2022,-20.33678246487848,Loess,Improvement
H3b,Pentachlorobenzine,Long term,2000 to 2022,-83.10614191607118,Loess,Improvement
H3b,Pentachlorophenol,Short term,2017 to 2022,-31.862557152942315,Loess,Improvement
H3b,Pentachlorophenol,Medium term,2012 to 2022,-50.87313995707072,Loess,Improvement
H3b,Pentachlorophenol,Long term,2000 to 2022,-75.29009669094782,Loess,Improvement
H3b,Polychlorinated Biphenyls,Short term,2017 to 2022,-28.48389984147886,Loess,Improvement
H3b,Polychlorinated Biphenyls,Medium term,2012 to 2022,-58.78710024357411,Loess,Improvement
H3b,Polychlorinated Biphenyls,Long term,2000 to 2022,-92.53108011743007,Loess,Improvement
H3b,Polychlorinated Naphthalenes,Short term,2017 to 2022,10.463728372470856,Loess,Deterioration
H3b,Polychlorinated Naphthalenes,Medium term,2012 to 2022,-13.818914764693583,Loess,Improvement
H3b,Polychlorinated Naphthalenes,Long term,2000 to 2022,-83.88903344338203,Loess,Improvement
