broad pollutant category,chemical,wildlife,value
PBT substances,Mercury,Buzzard,"No observed change in concentrations. Population average below threshold for most-recent year. Time period: 2001, 2004, 2006, 2010, 2013, 2016, and 2018–2021. "
PBT substances,PBDEs,Buzzard,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018, 2019 and 2021."
PBT substances,PCBs,Buzzard,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018, 2019 and 2021."
PBT substances,PCB 118,Buzzard,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018, 2019 and 2021."
PBT substances,PFOS,Buzzard,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018, 2019 and 2021."
PBT substances,PFAS,Buzzard,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018, 2019 and 2021."
Metals,Lead,Buzzard,"Increasing concentrations. 1 to 24% of samples above threshold for most-recent year.  Time period: 2001, 2004–2006, 2010, 2013, 2016, and 2018–2021."
Metals,Cadmium,Buzzard,"No observed change in concentrations. All individuals below threshold for most-recent year. Time period: 2001, 2004, 2006, 2010, 2013, 2016, and 2018–2021."
Metals,Nickel,Buzzard,"No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2001, 2004–2006, 2010, 2013, 2016, and 2018–2021."
Metals,Copper,Buzzard,
Metals,Zinc,Buzzard,
Pesticides and biocides,Pesticides,Buzzard,
Pesticides and biocides,SGARs,Buzzard,
PBT substances,Mercury,Sparrowhawk,"No observed change in concentrations. Population average below threshold for most-recent year. Time period: 2000, 2005, 2006, 2011–2013, 2020, and 2021 (2021 for risk assessment only)."
PBT substances,PBDEs,Sparrowhawk,
PBT substances,PCBs,Sparrowhawk,
PBT substances,PCB 118,Sparrowhawk,
PBT substances,PFOS,Sparrowhawk,
PBT substances,PFAS,Sparrowhawk,
Metals,Lead,Sparrowhawk,"No observed change in concentrations. All individuals below threshold for most-recent year. Time period: 2007–2014, 2020 and 2021. "
Metals,Cadmium,Sparrowhawk,"No observed change in concentrations. All individuals below threshold for most-recent year. Time period: 2007–2014, 2020 and 2021. "
Metals,Nickel,Sparrowhawk,"Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2007–2014, 2020 and 2021. "
Metals,Copper,Sparrowhawk,
Metals,Zinc,Sparrowhawk,
Pesticides and biocides,Pesticides,Sparrowhawk,
Pesticides and biocides,SGARs,Sparrowhawk,
PBT substances,Mercury,Red kite,
PBT substances,PBDEs,Red kite,
PBT substances,PCBs,Red kite,
PBT substances,PCB 118,Red kite,
PBT substances,PFOS,Red kite,
PBT substances,PFAS,Red kite,
Metals,Lead,Red kite,
Metals,Cadmium,Red kite,
Metals,Nickel,Red kite,
Metals,Copper,Red kite,
Metals,Zinc,Red kite,
Pesticides and biocides,Pesticides,Red kite,
Pesticides and biocides,SGARs,Red kite,No observed changes in concentrations. 1 to 24% of samples above threshold for most-recent year.  Time period: 2015-2021.
PBT substances,Mercury,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
PBT substances,PBDEs,Red fox,
PBT substances,PCBs,Red fox,
PBT substances,PCB 118,Red fox,
PBT substances,PFOS,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
PBT substances,PFAS,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
Metals,Lead,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
Metals,Cadmium,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
Metals,Nickel,Red fox,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2021.
Metals,Copper,Red fox,
Metals,Zinc,Red fox,
Pesticides and biocides,Pesticides,Red fox,
Pesticides and biocides,SGARs,Red fox,Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2015-2022.
PBT substances,Mercury,Freshwater,
PBT substances,PBDEs,Freshwater,
PBT substances,PCBs,Freshwater,
PBT substances,PCB 118,Freshwater,
PBT substances,PFOS,Freshwater,Decreasing concentrations. 1 to 24% of sites above threshold for most-recent 3 years.  Time period: 2016–2022. 
PBT substances,PFAS,Freshwater,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2016–2022. 
Metals,Lead,Freshwater,Decreasing concentrations. 1 to 24% of sites above threshold for most-recent 3 years.  Time period: 2014-2022.
Metals,Cadmium,Freshwater,Decreasing concentrations. 1 to 24% of sites above threshold for most-recent 3 years. Time period: 2014-2022.
Metals,Nickel,Freshwater,Decreasing concentrations. 1 to 24% of sites above threshold for most-recent 3 years.  Time period: 2014-2022.
Metals,Copper,Freshwater,No observed change in concentrations. 1 to 24% of sites above threshold for most-recent 3 years.  Time period: 2014-2022.
Metals,Zinc,Freshwater,Decreasing concentrations. 25 to 49% of sites above threshold for most-recent 3 years. Time period: 2014-2022. 
Pesticides and biocides,Pesticides,Freshwater,No observed change in concentrations. More than 75% of sites above threshold for most-recent year. Time period: 2016-2022. 
Pesticides and biocides,SGARs,Freshwater,
PBT substances,Mercury,Freshwater fish,No observed change in concentrations. More than 75% of sites above threshold for most-recent year. Time period: 2014–2019 and 2022. 
PBT substances,PBDEs,Freshwater fish,"Decreasing concentrations. All sites below threshold for most-recent year. Time period: 2015–2019, 2021 and 2022."
PBT substances,PCBs,Freshwater fish,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2019 and 2022. 
PBT substances,PCB 118,Freshwater fish,Decreasing concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2019 and 2022. 
PBT substances,PFOS,Freshwater fish,"Decreasing concentrations. All sites below threshold for most-recent year. Time period: 2015–2019, 2021 and 2022."
PBT substances,PFAS,Freshwater fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2022.
Metals,Lead,Freshwater fish,"Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2016–2019, 2021 and 2022."
Metals,Cadmium,Freshwater fish,"No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2016–2019, 2021 and 2022."
Metals,Nickel,Freshwater fish,
Metals,Copper,Freshwater fish,
Metals,Zinc,Freshwater fish,
Pesticides and biocides,Pesticides,Freshwater fish,
Pesticides and biocides,SGARs,Freshwater fish,
PBT substances,Mercury,Otter,No observed change in concentrations. Population average below threshold for most-recent year. Time period: 2014–2021. 
PBT substances,PBDEs,Otter,Decreasing concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2021. 
PBT substances,PCBs,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2021. 
PBT substances,PCB 118,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2021. 
PBT substances,PFOS,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2021. 
PBT substances,PFAS,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2015–2021. 
Metals,Lead,Otter,Decreasing concentrations. No threshold available; not currently able to assess risk. Time period: 2014–2021. 
Metals,Cadmium,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2014–2021. 
Metals,Nickel,Otter,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2014–2021. 
Metals,Copper,Otter,
Metals,Zinc,Otter,
Pesticides and biocides,Pesticides,Otter,
Pesticides and biocides,SGARs,Otter,
PBT substances,Mercury,Estuarine/coastal waters,
PBT substances,PBDEs,Estuarine/coastal waters,
PBT substances,PCBs,Estuarine/coastal waters,
PBT substances,PCB 118,Estuarine/coastal waters,
PBT substances,PFOS,Estuarine/coastal waters,
PBT substances,PFAS,Estuarine/coastal waters,
Metals,Lead,Estuarine/coastal waters,No observed change in concentrations. 1 to 24% of sites above threshold for most-recent 3 years.  Time period: 2014–2022. 
Metals,Cadmium,Estuarine/coastal waters,No observed change in concentrations. All sites below threshold for most-recent 3 years. Time period: 2014–2022. 
Metals,Nickel,Estuarine/coastal waters,No observed change in concentrations. All sites below threshold for most-recent 3 years. Time period: 2014–2022. 
Metals,Copper,Estuarine/coastal waters,No observed change in concentrations. All sites below threshold for most-recent 3 years. Time period: 2014–2022. 
Metals,Zinc,Estuarine/coastal waters,No observed change in concentrations. 50 to 74% of sites above threshold for most-recent 3 years.  Time period: 2014–2022. 
Pesticides and biocides,Pesticides,Estuarine/coastal waters,
Pesticides and biocides,SGARs,Estuarine/coastal waters,
PBT substances,Mercury,Blue mussel,"Increasing concentrations. More than 75% of sites above threshold for most-recent year. Time period: 2011–2019, 2021, and 2022."
PBT substances,PBDEs,Blue mussel,Decreasing concentrations. All sites below threshold for most-recent year. Time period: 2015–2022.
PBT substances,PCBs,Blue mussel,No observed change in concentrations. 25 to 49% of sites above threshold for most-recent year.  Time period: 2011–2022.
PBT substances,PCB 118,Blue mussel,No observed change in concentrations. 25 to 49% of sites above threshold for most-recent year.  Time period: 2011–2022.
PBT substances,PFOS,Blue mussel,
PBT substances,PFAS,Blue mussel,
Metals,Lead,Blue mussel,Decreasing concentrations. No threshold available; not currently able to assess risk. Time period: 2011–2022.
Metals,Cadmium,Blue mussel,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2011–2022.
Metals,Nickel,Blue mussel,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2011–2022.
Metals,Copper,Blue mussel,Decreasing concentrations. No threshold available; not currently able to assess risk. Time period: 2011–2022.
