attribute,trend,percentage
Overall,Strongly negative,4.99999949695037
Positive visual,Strongly negative,5.00000045514014
Negative visual,Strongly negative,4.90911627684982
Cultural,Strongly negative,0.0
Experiential,Strongly negative,
Access,Strongly negative,
Overall,Negative,19.999996071422
Positive visual,Negative,20.000012360648
Negative visual,Negative,0.0
Cultural,Negative,0.0
Experiential,Negative,
Access,Negative,
Overall,Little change,55.1437684456621
Positive visual,Little change,58.520797611918994
Negative visual,Little change,95.0908837231502
Cultural,Little change,95.5905480722948
Experiential,Little change,
Access,Little change,
Overall,Positive,16.3042327443713
Positive visual,Positive,13.4069912332966
Negative visual,Positive,0.0
Cultural,Positive,0.0
Experiential,Positive,
Access,Positive,
Overall,Strongly positive,3.55200324159431
Positive visual,Strongly positive,3.07219833899624
Negative visual,Strongly positive,0.0
Cultural,Strongly positive,4.40945192770523
Experiential,Strongly positive,
Access,Strongly positive,
