year,condition,percentage
2019,Favourable,60.07172744
2019,Unfavourable - Recovering,7.710699342
2019,Unfavourable - No change,5.618649133
2019,Unfavourable - Declining,4.78182905
2019,Partially destroyed,0.478182905
2019,Destroyed,0.597728631
2019,Unassessed,20.7411835
2021,Favourable,71.59023228
2021,Unfavourable - Recovering,7.087552114
2021,Unfavourable - No change,5.598570578
2021,Unfavourable - Declining,5.479452055
2021,Partially destroyed,0.536033353
2021,Destroyed,0.595592615
2021,Unassessed,9.112567004
