year,condition,percentage
2019,Optimal/generally satisfactory,25.91193067
2019,Generally satisfactory but with minor localised problems,35.39399436
2019,Generally satisfactory but with significant localised problems,23.63462314
2019,Generally unsatisfactory with major localised problems,7.638049174
2019,Extensive significant problems,5.038291012
2019,Unknown,1.571946796
2019,Not recorded,0.811164853
2021,Optimal/generally satisfactory,25.8069374
2021,Generally satisfactory but with minor localised problems,35.46508709
2021,Generally satisfactory but with significant localised problems,23.65343105
2021,Generally unsatisfactory with major localised problems,7.534762311
2021,Extensive significant problems,4.834094674
2021,Unknown,1.576226093
2021,Not recorded,1.129461372
