question,response,percentage
Perceptions of what local green and natural spaces actually are,a) Within easy walking distance,65.36980169199315
Perceptions of what local green and natural spaces actually are,b) Good places for mental health and wellbeing,70.83046566881707
Perceptions of what local green and natural spaces actually are,c) A high enough standard to want to spend time in,69.42913352941902
Perceptions of what local green and natural spaces actually are,d) Good places for children to play,66.65216557092896
Perceptions of what local green and natural spaces actually are,e) Places that encourage physical health and exercise,69.035807577719
Perceptions of what local green and natural spaces actually are,f) Good places to meet other people,63.18722394231004
Perceptions of what local green and natural spaces actually are,g) Provide good opportunities to see nature,72.23224381838664
General expectations of what green and natural spaces should be,a) Within easy walking distance,85.21956128069489
General expectations of what green and natural spaces should be,b) Good places for mental health and wellbeing,88.8337894772575
General expectations of what green and natural spaces should be,c) A high enough standard to want to spend time in,86.3973439456302
General expectations of what green and natural spaces should be,d) Good places for children to play,80.1420900085439
General expectations of what green and natural spaces should be,e) Places that encourage physical health and exercise,81.52082086782637
General expectations of what green and natural spaces should be,f) Good places to meet other people,72.59153844350583
General expectations of what green and natural spaces should be,g) Provide good opportunities to see nature,88.3130567998048
