year,frequency,percentage
2009/2010,At least once a week,53.51063433492184
2010/2011,At least once a week,53.40677384536332
2011/2012,At least once a week,54.94014574908447
2012/2013,At least once a week,54.70152977110495
2013/2014,At least once a week,57.637779735622274
2014/2015,At least once a week,58.9442333948777
2015/2016,At least once a week,57.578324124481206
2016/2017,At least once a week,63.8805106497575
2017/2018,At least once a week,62.37416161265305
2018/2019,At least once a week,64.68959762713477
2009/2010,Once or twice a month,20.04697522208193
2010/2011,Once or twice a month,21.38169943096713
2011/2012,Once or twice a month,20.596121759061106
2012/2013,Once or twice a month,20.19938105031652
2013/2014,Once or twice a month,19.837621756717187
2014/2015,Once or twice a month,18.94581563100792
2015/2016,Once or twice a month,18.99349510405003
2016/2017,Once or twice a month,17.63307561563138
2017/2018,Once or twice a month,19.42984184608698
2018/2019,Once or twice a month,19.44568543445063
2009/2010,Less than once a month,16.844940430847572
2010/2011,Less than once a month,15.916110497711829
2011/2012,Less than once a month,16.06437323307126
2012/2013,Less than once a month,16.25733124206385
2013/2014,Less than once a month,14.96308031307047
2014/2015,Less than once a month,13.68627938772638
2015/2016,Less than once a month,13.689267864701687
2016/2017,Less than once a month,10.81377863263433
2017/2018,Less than once a month,10.57509832145853
2018/2019,Less than once a month,9.86786406269112
2009/2010,Never,9.59745001214866
2010/2011,Never,9.29541622595772
2011/2012,Never,8.39935925878315
2012/2013,Never,8.84175793651467
2013/2014,Never,7.561518194590031
2014/2015,Never,8.423671586388
2015/2016,Never,9.73891290676707
2016/2017,Never,7.67263510197678
2017/2018,Never,7.62089821980144
2018/2019,Never,5.99685287572345
