year,frequency,percentage
2020/2021,At least once a week,71.26585277550794
2021/2022,At least once a week,69.41295686584834
2022/2023,At least once a week,69.16112756828635
2020/2021,Once or twice a month,11.07332289354864
2021/2022,Once or twice a month,11.43905537660247
2022/2023,Once or twice a month,13.274228147176858
2020/2021,Less than once a month,13.63218063820173
2021/2022,Less than once a month,13.971231042280891
2022/2023,Less than once a month,14.02013292353014
2020/2021,Never,4.0179029120788
2021/2022,Never,5.16860312965676
2022/2023,Never,3.51803788862221
