year,frequency,percentage
2020/2021,At least once a week,71.27
2020/2021,Once or twice a month,11.07
2020/2021,Less than once a month,13.63
2020/2021,Never,4.02
2020/2021,Don't know and prefer not to say,0.01
2021/2022,At least once a week,69.41000000000001
2021/2022,Once or twice a month,11.44
2021/2022,Less than once a month,13.97
2021/2022,Never,5.17
2021/2022,Don't know and prefer not to say,0.01
2022/2023,At least once a week,69.16
2022/2023,Once or twice a month,13.27
2022/2023,Less than once a month,14.02
2022/2023,Never,3.52
2022/2023,Don't know and prefer not to say,0.03
2023/2024,At least once a week,70.02000000000001
2023/2024,Once or twice a month,13.31
2023/2024,Less than once a month,13.78
2023/2024,Never,2.86
2023/2024,Don't know and prefer not to say,0.03
