year,value
2000,100.0
2001,88.12972773250266
2002,107.24823108213444
2003,107.98713936253066
2004,112.98844314203838
2005,119.85267174297029
2006,115.96473803231244
2007,134.50496441246463
2008,126.26404217167595
2009,128.90269036314083
2010,132.1145075224229
2011,142.2200162081798
2012,127.7315296399532
2013,128.45572563544857
2014,128.1014412485304
2015,129.6208404585813
2016,135.2035178802697
2017,140.28315736232648
2018,148.6278835252984
2019,141.4694387982109
2020,66.35528778497694
2021,126.62184989052912
