year,category,value
1983,Crops,4.237632
1983,Grassland,4.872245
1983,Uncropped arable,0.086133
1984,Crops,4.338735
1984,Grassland,4.817567
1984,Uncropped arable,0.033336
1985,Crops,4.395629
1985,Grassland,4.744702
1985,Uncropped arable,0.032575
1986,Crops,4.416442
1986,Grassland,4.707587
1986,Uncropped arable,0.036648
1987,Uncropped arable,0.031521
1987,Grassland,4.6922
1987,Crops,4.4437
1988,Crops,4.435448
1988,Grassland,4.660638
1988,Uncropped arable,0.047148
1989,Crops,4.361763
1989,Grassland,4.655653
1989,Uncropped arable,0.043273
1990,Crops,4.265726
1990,Grassland,4.691827
1990,Uncropped arable,0.106436
1991,Crops,4.222054
1991,Grassland,4.687217
1991,Uncropped arable,0.129381
1992,Uncropped arable,0.1666356
1992,Grassland,4.6190283
1992,Crops,4.2437307
1993,Crops,3.8390257
1993,Grassland,4.5762826
1993,Uncropped arable,0.6164684
1994,Crops,3.80429456
1994,Grassland,4.54099913
1994,Uncropped arable,0.6609777800000001
1995,Crops,3.85207787
1995,Grassland,4.47703106
1995,Uncropped arable,0.57710125
1996,Crops,4.000390317495211
1996,Grassland,4.426053349303179
1996,Uncropped arable,0.4597810602188225
1997,Uncropped arable,0.280881963
1997,Grassland,4.348579813
1997,Crops,4.2278289018
1998,Crops,4.21579
1998,Grassland,4.309446
1998,Uncropped arable,0.290684
1999,Crops,3.992173
1999,Grassland,4.267554
1999,Uncropped arable,0.517818
2000,Crops,3.971208
2000,Grassland,4.133307
2000,Uncropped arable,0.505366
2001,Crops,3.785852
2001,Grassland,4.315783
2001,Uncropped arable,0.733228
2002,Grassland,4.316096
2002,Uncropped arable,0.538715
2002,Crops,3.9022057846
2003,Crops,3.8130046619
2003,Grassland,4.315972
2003,Uncropped arable,0.606759
2004,Crops,3.911430700471062
2004,Grassland,4.329173
2004,Uncropped arable,0.4963172721289389
2005,Crops,3.869948908984796
2005,Grassland,4.403086
2005,Uncropped arable,0.5303030027152045
2006,Uncropped arable,0.4936059232891738
2006,Crops,3.7874497633976825
2006,Grassland,4.589696
2007,Crops,3.7997750922
2007,Grassland,4.571333
2007,Uncropped arable,0.423465
2008,Crops,4.030990839717658
2008,Grassland,4.643266819999999
2008,Uncropped arable,0.15942257
2009,Crops,3.900785597471175
2009,Grassland,4.397179539699998
2009,Uncropped arable,0.2207027299000033
2010,Crops,3.9178420937
2010,Uncropped arable,0.149316
2010,Grassland,4.368104
2011,Crops,3.9614054055
2011,Grassland,4.355788
2011,Uncropped arable,0.138598
2012,Crops,4.0360067992
2012,Grassland,4.3471
2012,Uncropped arable,0.136106
2013,Uncropped arable,0.237422
2013,Crops,3.9601333833
2013,Grassland,4.412696
2014,Grassland,4.399743
2014,Uncropped arable,0.146305
2014,Crops,4.0095326407
2015,Crops,3.983870082
2015,Grassland,4.341348
2015,Uncropped arable,0.178809
2016,Crops,3.9927551794
2016,Grassland,4.387975
2016,Uncropped arable,0.21619
2017,Grassland,4.397513
2017,Uncropped arable,0.200049
2017,Crops,4.0541683875
2018,Grassland,4.408069
2018,Uncropped arable,0.225394
2018,Crops,3.9917414029
2019,Crops,4.0276478678
2019,Uncropped arable,0.190909
2019,Grassland,4.431719
2020,Grassland,4.389764
2020,Uncropped arable,0.326162
2020,Crops,3.8032133742
2021,Grassland,4.313954
2021,Uncropped arable,0.230909
2021,Crops,3.876459826
2022,Crops,3.8645166848
2022,Grassland,4.428505
2022,Uncropped arable,0.24054
