year,value
1990/1991,100.0
1991/1992,103.56
1992/1993,98.85
1993/1994,93.73
1994/1995,94.72
1995/1996,100.62
1996/1997,101.77
1997/1998,101.51
1998/1999,100.23
1999/2000,101.2
2000/2001,91.79
2001/2002,100.2
2002/2003,106.01
2003/2004,107.9
2004/2005,108.95
2005/2006,106.6
2006/2007,104.91
2007/2008,99.58
2008/2009,105.05
2009/2010,100.77
2010/2011,99.84
2011/2012,103.66
2012/2013,95.06
2013/2014,98.58
2014/2015,105.14
2015/2016,106.5
2016/2017,102.06
2017/2018,104.1
2018/2019,107.18
2019/2020,110.36
2020/2021,102.21
2021/2022,103.18
2022/2023,106.66
2023/2024,102.43
