year,value
2002/2003,3152.4385471090386
2003/2004,3298.970168379515
2004/2005,3365.2887656054386
2005/2006,3347.7287018676507
2006/2007,3279.145944228412
2007/2008,3187.276666666666
2008/2009,3102.773333333333
2009/2010,3062.08
2010/2011,3087.7700000000004
2011/2012,3041.396666666667
2012/2013,3001.25
2013/2014,2921.773333333334
2014/2015,2919.8233333333337
2015/2016,2897.763333333334
2016/2017,2898.91
2017/2018,2914.2533333333326
2018/2019,2939.23
2019/2020,2896.91
2020/2021,2850.7900000000004
2021/2022,2785.6666666666665
2022/2023,2792.333333333333
