year,value
2003/2004,151.62890987636194
2004/2005,151.63021682277432
2005/2006,151.80755507256603
2006/2007,149.65533678549707
2007/2008,148.7265002635376
2008/2009,146.8014433749751
2009/2010,146.15420936120745
2010/2011,145.81188253694958
2011/2012,145.49819174834423
2012/2013,143.3447903074247
2013/2014,141.59206666946343
2014/2015,139.75134591459752
2015/2016,139.78965904038816
2016/2017,139.51617109269472
2017/2018,140.31421488252724
2018/2019,141.4950932577356
2019/2020,141.38253396393233
2020/2021,145.00961622453406
2021/2022,145.23333333333332
2022/2023,145.53333333333333
