year,category,value
2009,Total (thousand tonnes),24.519792100000004
2010,Total (thousand tonnes),24.2514296
2011,Total (thousand tonnes),27.928496900000003
2012,Total (thousand tonnes),28.4561764
2013,Total (thousand tonnes),25.215104900000004
2014,Total (thousand tonnes),24.257655000000003
2015,Total (thousand tonnes),22.5802846
2016,Total (thousand tonnes),21.5689093
2017,Total (thousand tonnes),21.5002906
2018,Total (thousand tonnes),15.8283013
2019,Total (thousand tonnes),18.9502409
2020,Total (thousand tonnes),12.696872699999998
2009,Sustainable (thousand tonnes),3.3993218
2010,Sustainable (thousand tonnes),3.0591539
2011,Sustainable (thousand tonnes),3.2389911
2012,Sustainable (thousand tonnes),7.0876495
2013,Sustainable (thousand tonnes),8.8094451
2014,Sustainable (thousand tonnes),9.5083641
2015,Sustainable (thousand tonnes),10.3296441
2016,Sustainable (thousand tonnes),9.272375800000002
2017,Sustainable (thousand tonnes),10.6625812
2018,Sustainable (thousand tonnes),6.6519568
2019,Sustainable (thousand tonnes),9.1974309
2020,Sustainable (thousand tonnes),5.3018794
2009,Unsustainable (thousand tonnes),16.5351612
2010,Unsustainable (thousand tonnes),14.848085700000002
2011,Unsustainable (thousand tonnes),18.594002
2012,Unsustainable (thousand tonnes),16.1266371
2013,Unsustainable (thousand tonnes),10.951103399999996
2014,Unsustainable (thousand tonnes),8.8304172
2015,Unsustainable (thousand tonnes),6.0522705
2016,Unsustainable (thousand tonnes),6.276218000000001
2017,Unsustainable (thousand tonnes),5.6898513
2018,Unsustainable (thousand tonnes),6.055761899999999
2019,Unsustainable (thousand tonnes),6.2724558
2020,Unsustainable (thousand tonnes),3.9093948
2009,Unknown (thousand tonnes),4.585309100000001
2010,Unknown (thousand tonnes),6.34419
2011,Unknown (thousand tonnes),6.0955038
2012,Unknown (thousand tonnes),5.2418898
2013,Unknown (thousand tonnes),5.4545564
2014,Unknown (thousand tonnes),5.9188737
2015,Unknown (thousand tonnes),6.19837
2016,Unknown (thousand tonnes),6.020315500000001
2017,Unknown (thousand tonnes),5.1478581000000005
2018,Unknown (thousand tonnes),3.1205826
2019,Unknown (thousand tonnes),3.4803542
2020,Unknown (thousand tonnes),3.4855985
2009,Sustainable (%),13.8635832887017
2010,Sustainable (%),12.6143239819561
2011,Sustainable (%),11.597441536497438
2012,Sustainable (%),24.907244741426325
2013,Sustainable (%),34.93717410630324
2014,Sustainable (%),39.19737542643754
2015,Sustainable (%),45.74629719237462
2016,Sustainable (%),42.98954421399511
2017,Sustainable (%),49.59273062104565
2018,Sustainable (%),42.02571503993294
2019,Sustainable (%),48.534638417182336
2020,Sustainable (%),41.75736439414723
2009,Unsustainable (%),67.43597634337202
2010,Unsustainable (%),61.22560997393738
2011,Unsustainable (%),66.57716692229147
2012,Unsustainable (%),56.67183416813511
2013,Unsustainable (%),43.430727111510045
2014,Unsustainable (%),36.40260033379153
2015,Unsustainable (%),26.80334020236396
2016,Unsustainable (%),29.098448663790343
2017,Unsustainable (%),26.4640669554485
2018,Unsustainable (%),38.25907648093608
2019,Unsustainable (%),33.0996098313452
2020,Unsustainable (%),30.790218129854924
2009,Unknown (%),18.700440367926284
2010,Unknown (%),26.16006604410653
2011,Unknown (%),21.825391541211083
2012,Unknown (%),18.42092109043856
2013,Unknown (%),21.632098782186706
2014,Unknown (%),24.400024239770907
2015,Unknown (%),27.450362605261404
2016,Unknown (%),27.91200712221457
2017,Unknown (%),23.94320242350585
2018,Unknown (%),19.715208479130983
2019,Unknown (%),18.36575175147245
2020,Unknown (%),27.45241747599785
