Level of risk,variable,value
High,Rivers and the sea: Residential properties,122700.0
Medium,Rivers and the sea: Residential properties,454900.0
Low,Rivers and the sea: Residential properties,851700.0
Very low,Rivers and the sea: Residential properties,612800.0
High,Rivers and the sea: Non-residential properties,73400.0
Medium,Rivers and the sea: Non-residential properties,168900.0
Low,Rivers and the sea: Non-residential properties,217800.0
Very low,Rivers and the sea: Non-residential properties,104500.0
High,Surface waters: Residential properties,272300.0
Medium,Surface waters: Residential properties,416900.0
Low,Surface waters: Residential properties,1985500.0
Very low,Surface waters: Residential properties,
High,Surface waters: Non-residential properties,71800.0
Medium,Surface waters: Non-residential properties,87100.0
Low,Surface waters: Non-residential properties,385200.0
Very low,Surface waters: Non-residential properties,
