Year,variable,Percentage of assets in required condition
2017/2018,Percentage of assets in required condition,97.7
2018/2019,Percentage of assets in required condition,97.9
2019/2020,Percentage of assets in required condition,96.1
2020/2021,Percentage of assets in required condition,94.5
2021/2022,Percentage of assets in required condition,91.8
2022/2023,Percentage of assets in required condition,94.5
2023/2024,Percentage of assets in required condition,92.6
2017/2018,Percentage of assets not in required condition,2.299999999999997
2018/2019,Percentage of assets not in required condition,2.0999999999999943
2019/2020,Percentage of assets not in required condition,3.9000000000000057
2020/2021,Percentage of assets not in required condition,5.5
2021/2022,Percentage of assets not in required condition,8.200000000000003
2022/2023,Percentage of assets not in required condition,5.5
2023/2024,Percentage of assets not in required condition,7.400000000000006
