year,reporting_type,value
2000/2001,Household waste recycling rate (2000/2001 to 2010/2011),11.2
2001/2002,Household waste recycling rate (2000/2001 to 2010/2011),12.5
2002/2003,Household waste recycling rate (2000/2001 to 2010/2011),14.499999999999998
2003/2004,Household waste recycling rate (2000/2001 to 2010/2011),17.8
2004/2005,Household waste recycling rate (2000/2001 to 2010/2011),22.5
2005/2006,Household waste recycling rate (2000/2001 to 2010/2011),26.700000000000003
2006/2007,Household waste recycling rate (2000/2001 to 2010/2011),30.9
2007/2008,Household waste recycling rate (2000/2001 to 2010/2011),34.5
2008/2009,Household waste recycling rate (2000/2001 to 2010/2011),37.6
2009/2010,Household waste recycling rate (2000/2001 to 2010/2011),39.7
2010/2011,Household waste recycling rate (2000/2001 to 2010/2011),41.5
2010/2011,Waste from households recycling rate (2010/2011 to 2022/2023),41.9
2011/2012,Waste from households recycling rate (2010/2011 to 2022/2023),43.3
2012/2013,Waste from households recycling rate (2010/2011 to 2022/2023),43.9
2013/2014,Waste from households recycling rate (2010/2011 to 2022/2023),44.5
2014/2015,Waste from households recycling rate (2010/2011 to 2022/2023),44.7
2015/2016,Waste from households recycling rate (2010/2011 to 2022/2023),44.4
2016/2017,Waste from households recycling rate (2010/2011 to 2022/2023),45.1
2017/2018,Waste from households recycling rate (2010/2011 to 2022/2023),44.8
2018/2019,Waste from households recycling rate (2010/2011 to 2022/2023),45.1
2019/2020,Waste from households recycling rate (2010/2011 to 2022/2023),45.5
2020/2021,Waste from households recycling rate (2010/2011 to 2022/2023),43.9
2021/2022,Waste from households recycling rate (2010/2011 to 2022/2023),44.1
2022/2023,Waste from households recycling rate (2010/2011 to 2022/2023),43.3
