year,destination,value
2010,Incineration,5968551.74
2012,Incineration,7036313.0
2014,Incineration,8599041.49
2015,Incineration,10366875.0
2016,Incineration,11639105.59
2017,Incineration,12992265.461
2018,Incineration,14346646.3
2019,Incineration,15296420.618920002
2020,Incineration,16328078.0
2010,Landfill,24612296.412
2011,Landfill,23068274.008
2012,Landfill,21250142.445
2013,Landfill,19281184.222000007
2014,Landfill,17051546.027000003
2015,Landfill,15161446.701
2016,Landfill,14550501.192000004
2017,Landfill,13658447.214
2018,Landfill,13749225.364000006
2019,Landfill,13755240.190490998
2020,Landfill,12756526.690998
