year,category,value
2010,Sent to landfill,467.537044285095
2011,Sent to landfill,434.352450758578
2012,Sent to landfill,397.148356455997
2013,Sent to landfill,357.597442600882
2014,Sent to landfill,313.618649671708
2015,Sent to landfill,276.482863789667
2016,Sent to landfill,263.171557528026
2017,Sent to landfill,245.569187545357
2018,Sent to landfill,245.853221398668
2019a,Sent to landfill,244.624337391572
2019b,Sent to landfill,237.958897933358
2020,Sent to landfill,219.899448692904
2021,Sent to landfill,243.027964740097
2022,Sent to landfill,226.821889564108
2010,Put through incineration (including Energy from Waste),112.840065656516
2011,Put through incineration (including Energy from Waste),
2012,Put through incineration (including Energy from Waste),131.503125246931
2013,Put through incineration (including Energy from Waste),
2014,Put through incineration (including Energy from Waste),158.135197441089
2015,Put through incineration (including Energy from Waste),189.267516697539
2016,Put through incineration (including Energy from Waste),210.513817079893
2017,Put through incineration (including Energy from Waste),233.273191306769
2018,Put through incineration (including Energy from Waste),256.535849529208
2019a,Put through incineration (including Energy from Waste),271.908756749593
2019b,Put through incineration (including Energy from Waste),286.684766079939
2020,Put through incineration (including Energy from Waste),299.29488569505
2021,Put through incineration (including Energy from Waste),307.38511693559
2022,Put through incineration (including Energy from Waste),306.835561293272
2010,Sent outside the UK for energy recovery,0.0
2011,Sent outside the UK for energy recovery,0.0
2012,Sent outside the UK for energy recovery,0.0
2013,Sent outside the UK for energy recovery,0.0
2014,Sent outside the UK for energy recovery,0.0
2015,Sent outside the UK for energy recovery,51.5011241508735
2016,Sent outside the UK for energy recovery,58.1122530572735
2017,Sent outside the UK for energy recovery,57.5478897383344
2018,Sent outside the UK for energy recovery,56.9863195626792
2019a,Sent outside the UK for energy recovery,50.1962216896956
2019b,Sent outside the UK for energy recovery,50.1962216896956
2020,Sent outside the UK for energy recovery,30.9032737852444
2021,Sent outside the UK for energy recovery,26.4170790462667
2022,Sent outside the UK for energy recovery,25.1645898941131
