year,category,value
2010,Sent to landfill,24.612296412
2011,Sent to landfill,23.067229008
2012,Sent to landfill,21.250142445
2013,Sent to landfill,19.281184222
2014,Sent to landfill,17.051546027
2015,Sent to landfill,15.153659701
2016,Sent to landfill,14.550501192
2017,Sent to landfill,13.658447214
2018,Sent to landfill,13.749225364
2019a,Sent to landfill,13.755240190491
2019b,Sent to landfill,13.380442156491
2020,Sent to landfill,12.386047770998
2021,Sent to landfill,13.744420055828
2022,Sent to landfill,12.95298110056
2010,Put through incineration (including Energy from Waste),5.94017774
2011,Put through incineration (including Energy from Waste),0.0
2012,Put through incineration (including Energy from Waste),7.036313
2013,Put through incineration (including Energy from Waste),0.0
2014,Put through incineration (including Energy from Waste),8.59786113
2015,Put through incineration (including Energy from Waste),10.373502
2016,Put through incineration (including Energy from Waste),11.63910559
2017,Put through incineration (including Energy from Waste),12.974549461
2018,Put through incineration (including Energy from Waste),14.346646300000002
2019a,Put through incineration (including Energy from Waste),15.28944461892
2019b,Put through incineration (including Energy from Waste),16.1203004510219
2020,Put through incineration (including Energy from Waste),16.8580720591589
2021,Put through incineration (including Energy from Waste),17.3841317833145
2022,Put through incineration (including Energy from Waste),17.522273683767
2010,Sent outside the UK for energy recovery,0.0
2011,Sent outside the UK for energy recovery,0.0
2012,Sent outside the UK for energy recovery,0.0
2013,Sent outside the UK for energy recovery,0.0
2014,Sent outside the UK for energy recovery,0.0
2015,Sent outside the UK for energy recovery,2.8227084272210003
2016,Sent outside the UK for energy recovery,3.2129703351002
2017,Sent outside the UK for energy recovery,3.2007876156000004
2018,Sent outside the UK for energy recovery,3.186933024
2019a,Sent outside the UK for energy recovery,2.8225363566
2019b,Sent outside the UK for energy recovery,2.8225363566
2020,Sent outside the UK for energy recovery,1.740656594
2021,Sent outside the UK for energy recovery,1.494015026
2022,Sent outside the UK for energy recovery,1.437059086
