year,category,value
2000,Decabromodiphenyl Ether,100.0
2001,Decabromodiphenyl Ether,102.59524492807572
2002,Decabromodiphenyl Ether,104.62933802847672
2003,Decabromodiphenyl Ether,106.09642042685292
2004,Decabromodiphenyl Ether,106.72792970245732
2005,Decabromodiphenyl Ether,106.5357964914378
2006,Decabromodiphenyl Ether,105.72949924781842
2007,Decabromodiphenyl Ether,104.62778159495652
2008,Decabromodiphenyl Ether,103.23579049696144
2009,Decabromodiphenyl Ether,101.28286452043614
2010,Decabromodiphenyl Ether,99.26495021200846
2011,Decabromodiphenyl Ether,97.17349112467194
2012,Decabromodiphenyl Ether,94.99631770159873
2013,Decabromodiphenyl Ether,92.14001385795216
2014,Decabromodiphenyl Ether,88.68131544698518
2015,Decabromodiphenyl Ether,84.58573662067185
2016,Decabromodiphenyl Ether,79.78797036268001
2017,Decabromodiphenyl Ether,74.5311157537207
2018,Decabromodiphenyl Ether,69.04373491740114
2019,Decabromodiphenyl Ether,63.521124912202
2020,Decabromodiphenyl Ether,57.76100591276597
2021,Decabromodiphenyl Ether,52.362226636890206
2022,Decabromodiphenyl Ether,47.34758911911758
2023,Decabromodiphenyl Ether,42.70105557370336
2000,Hexabromocyclododecane,100.0
2001,Hexabromocyclododecane,106.58481125051284
2002,Hexabromocyclododecane,113.26989214878958
2003,Hexabromocyclododecane,120.05797871962928
2004,Hexabromocyclododecane,126.92085106299682
2005,Hexabromocyclododecane,133.8445504020237
2006,Hexabromocyclododecane,140.79889212930254
2007,Hexabromocyclododecane,147.76845376983653
2008,Hexabromocyclododecane,155.03310725385103
2009,Hexabromocyclododecane,162.0890410983891
2010,Hexabromocyclododecane,168.9360498938525
2011,Hexabromocyclododecane,175.5666509280044
2012,Hexabromocyclododecane,181.9463397545991
2013,Hexabromocyclododecane,184.74528263991385
2014,Hexabromocyclododecane,186.38914978040413
2015,Hexabromocyclododecane,187.05437268531887
2016,Hexabromocyclododecane,186.7412750603216
2017,Hexabromocyclododecane,185.43268436938783
2018,Hexabromocyclododecane,183.1377609474668
2019,Hexabromocyclododecane,180.6713847936176
2020,Hexabromocyclododecane,178.04166133527826
2021,Hexabromocyclododecane,175.25440543800997
2022,Hexabromocyclododecane,172.3496599560547
2023,Hexabromocyclododecane,169.45154579058814
2000,Polychlorinated Biphenyls,100.0
2001,Polychlorinated Biphenyls,86.41887717989583
2002,Polychlorinated Biphenyls,74.68222333033923
2003,Polychlorinated Biphenyls,64.53953885506135
2004,Polychlorinated Biphenyls,55.77434481562664
2005,Polychlorinated Biphenyls,48.19956254410797
2006,Polychlorinated Biphenyls,41.65352075623974
2007,Polychlorinated Biphenyls,35.996504943437245
2008,Polychlorinated Biphenyls,31.107775396124165
2009,Polychlorinated Biphenyls,26.88299021297441
2010,Polychlorinated Biphenyls,23.23197829443376
2011,Polychlorinated Biphenyls,20.07681478872677
2012,Polychlorinated Biphenyls,17.350157913904958
2013,Polychlorinated Biphenyls,14.993811658135495
2014,Polychlorinated Biphenyls,12.95748368142902
2015,Polychlorinated Biphenyls,11.197711908259192
2016,Polychlorinated Biphenyls,9.676936900957076
2017,Polychlorinated Biphenyls,8.362700215214119
2018,Polychlorinated Biphenyls,7.226951627908773
2019,Polychlorinated Biphenyls,6.245450451172964
2020,Polychlorinated Biphenyls,5.397248154730415
2021,Polychlorinated Biphenyls,5.241230141224206
2022,Polychlorinated Biphenyls,4.56840245797868
2023,Polychlorinated Biphenyls,3.6079165623310816
