year,variable,value
2000,Incinerated (tonnes),47.82634204883796
2001,Incinerated (tonnes),49.62570276233883
2002,Incinerated (tonnes),51.56916465975356
2003,Incinerated (tonnes),67.15238927831555
2004,Incinerated (tonnes),72.0391283267405
2005,Incinerated (tonnes),90.1399152734092
2006,Incinerated (tonnes),97.65240815573554
2007,Incinerated (tonnes),102.70359345690306
2008,Incinerated (tonnes),131.82841244302003
2009,Incinerated (tonnes),137.0203123997231
2010,Incinerated (tonnes),146.52284667127367
2011,Incinerated (tonnes),173.70642793677644
2012,Incinerated (tonnes),186.57264177081288
2013,Incinerated (tonnes),153.67586319837443
2014,Incinerated (tonnes),174.32567977720495
2015,Incinerated (tonnes),178.51764805330384
2016,Incinerated (tonnes),187.746770762085
2017,Incinerated (tonnes),194.26552686110816
2018,Incinerated (tonnes),224.9365767289754
2019,Incinerated (tonnes),247.1889024284129
2020,Incinerated (tonnes),273.3308741292784
2021,Incinerated (tonnes),295.7514576706968
2022,Incinerated (tonnes),321.9104166661099
2023,Incinerated (tonnes),339.4296822483988
2000,Landfill (tonnes),209.5956814535474
2001,Landfill (tonnes),218.96140032289992
2002,Landfill (tonnes),228.6878679643132
2003,Landfill (tonnes),221.78284035221785
2004,Landfill (tonnes),229.3345183502934
2005,Landfill (tonnes),224.14802932967865
2006,Landfill (tonnes),230.5312911808853
2007,Landfill (tonnes),240.96584706981287
2008,Landfill (tonnes),233.6389346666737
2009,Landfill (tonnes),241.67586690807312
2010,Landfill (tonnes),246.4828766508504
2011,Landfill (tonnes),234.96972663948787
2012,Landfill (tonnes),240.54979669368777
2013,Landfill (tonnes),211.4206168285214
2014,Landfill (tonnes),189.748577576394
2015,Landfill (tonnes),193.6054746097768
2016,Landfill (tonnes),193.3437013121521
2017,Landfill (tonnes),198.05745064889987
2018,Landfill (tonnes),177.0289554799529
2019,Landfill (tonnes),187.09615190788688
2020,Landfill (tonnes),191.62231911185216
2021,Landfill (tonnes),199.3927602640659
2022,Landfill (tonnes),201.3060500333548
2023,Landfill (tonnes),181.84487611986816
2000,Recycled (tonnes),10.082875748727767
2001,Recycled (tonnes),10.617848396409777
2002,Recycled (tonnes),11.146059640186492
2003,Recycled (tonnes),14.97377284622921
2004,Recycled (tonnes),16.371410831952044
2005,Recycled (tonnes),17.800992327111196
2006,Recycled (tonnes),19.34845224811263
2007,Recycled (tonnes),20.238990864237834
2008,Recycled (tonnes),22.740668019762023
2009,Recycled (tonnes),23.538610953304577
2010,Recycled (tonnes),25.11850541387624
2011,Recycled (tonnes),26.790271657185496
2012,Recycled (tonnes),28.51110142086011
2013,Recycled (tonnes),27.429020216902984
2014,Recycled (tonnes),29.472840991303144
2015,Recycled (tonnes),30.09430368970665
2016,Recycled (tonnes),31.592534056481853
2017,Recycled (tonnes),32.91627345441093
2018,Recycled (tonnes),34.15380709346426
2019,Recycled (tonnes),34.73944510933046
2020,Recycled (tonnes),35.61630640688459
2021,Recycled (tonnes),34.95348642396171
2022,Recycled (tonnes),34.289660162443184
2023,Recycled (tonnes),61.13755495065719
2000,Total (tonnes),267.5048992511131
2001,Total (tonnes),279.2049514816485
2002,Total (tonnes),291.4030922642532
2003,Total (tonnes),303.9090024767626
2004,Total (tonnes),317.74505750898595
2005,Total (tonnes),332.088936930199
2006,Total (tonnes),347.5321515847335
2007,Total (tonnes),363.90843139095387
2008,Total (tonnes),388.20801512945576
2009,Total (tonnes),402.2347902611008
2010,Total (tonnes),418.12422873600025
2011,Total (tonnes),435.4664262334498
2012,Total (tonnes),455.63353988536073
2013,Total (tonnes),392.5255002437988
2014,Total (tonnes),393.54709834490205
2015,Total (tonnes),402.2174263527872
2016,Total (tonnes),412.683006130719
2017,Total (tonnes),425.239250964419
2018,Total (tonnes),436.1193393023926
2019,Total (tonnes),469.0244994456303
2020,Total (tonnes),500.5694996480152
2021,Total (tonnes),530.0977043587244
2022,Total (tonnes),557.5061268619079
2023,Total (tonnes),582.4121133189242
2000,Incinerated (%),17.878678926153892
2001,Incinerated (%),17.773933627964546
2002,Incinerated (%),17.69684880796978
2003,Incinerated (%),22.0962158840458
2004,Incinerated (%),22.671990208597723
2005,Incinerated (%),27.14330567788697
2006,Incinerated (%),28.09881264523131
2007,Incinerated (%),28.22237260740096
2008,Incinerated (%),33.95818924528366
2009,Incinerated (%),34.06475912010986
2010,Incinerated (%),35.04289792395332
2011,Incinerated (%),39.88974062575697
2012,Incinerated (%),40.94796046352411
2013,Incinerated (%),39.15054260243624
2014,Incinerated (%),44.29601450762752
2015,Incinerated (%),44.38336987834162
2016,Incinerated (%),45.494185118593286
2017,Incinerated (%),45.68381832592471
2018,Incinerated (%),51.57684066218648
2019,Incinerated (%),52.702769838373285
2020,Incinerated (%),54.603980930015936
2021,Incinerated (%),55.791876712327294
2022,Incinerated (%),57.74114420554984
2023,Incinerated (%),58.27998327749921
2000,Recycled (%),3.769230312026075
2001,Recycled (%),3.8028868542854832
2002,Recycled (%),3.824962718679356
2003,Recycled (%),4.927058008876894
2004,Recycled (%),5.152373088128697
2005,Recycled (%),5.360308744898884
2006,Recycled (%),5.567384818896444
2007,Recycled (%),5.561561403476991
2008,Recycled (%),5.857856389744732
2009,Recycled (%),5.851957991506669
2010,Recycled (%),6.007426426784714
2011,Recycled (%),6.152086600316568
2012,Recycled (%),6.25746327367244
2013,Recycled (%),6.987831414740375
2014,Recycled (%),7.489025104048244
2015,Recycled (%),7.482098416917111
2016,Recycled (%),7.655399807394732
2017,Recycled (%),7.74064797164388
2018,Recycled (%),7.831298457916583
2019,Recycled (%),7.406744242654958
2020,Recycled (%),7.115157122423332
2021,Recycled (%),6.593781888990827
2022,Recycled (%),6.150544094547072
2023,Recycled (%),10.497301404371504
2000,Landfill (%),78.35209076182004
2001,Landfill (%),78.42317951774996
2002,Landfill (%),78.47818847335087
2003,Landfill (%),72.9767261070773
2004,Landfill (%),72.17563670327357
2005,Landfill (%),67.49638557721414
2006,Landfill (%),66.33380253587225
2007,Landfill (%),66.21606598912206
2008,Landfill (%),60.18395436497159
