year,variable,value
2000,Incinerated (tonnes),22.74064067561923
2001,Incinerated (tonnes),24.37371102062187
2002,Incinerated (tonnes),27.046046903625715
2003,Incinerated (tonnes),48.63067676033799
2004,Incinerated (tonnes),101.39786418637448
2005,Incinerated (tonnes),144.08296003146273
2006,Incinerated (tonnes),223.07907554470995
2007,Incinerated (tonnes),247.2937818241112
2008,Incinerated (tonnes),293.63797296731667
2009,Incinerated (tonnes),295.6437620335549
2010,Incinerated (tonnes),324.7854664613895
2011,Incinerated (tonnes),313.2516677784197
2012,Incinerated (tonnes),338.1070498606717
2013,Incinerated (tonnes),328.19679963480024
2014,Incinerated (tonnes),360.3755448724101
2015,Incinerated (tonnes),356.5872167047359
2016,Incinerated (tonnes),391.5424911390388
2017,Incinerated (tonnes),385.79571149996514
2018,Incinerated (tonnes),411.2976522366391
2019,Incinerated (tonnes),393.0835029452289
2020,Incinerated (tonnes),399.6065245682597
2021,Incinerated (tonnes),366.1476543677928
2022,Incinerated (tonnes),363.8857187171307
2023,Incinerated (tonnes),317.544491987508
2000,Landfill (tonnes),1362.9545532253946
2001,Landfill (tonnes),1429.5357467107603
2002,Landfill (tonnes),1518.920022899992
2003,Landfill (tonnes),1590.9714756181895
2004,Landfill (tonnes),1705.2359556567897
2005,Landfill (tonnes),1849.8413981782587
2006,Landfill (tonnes),1900.9924628962733
2007,Landfill (tonnes),1919.9272243890048
2008,Landfill (tonnes),1830.3484108231992
2009,Landfill (tonnes),1739.3164869068191
2010,Landfill (tonnes),1587.7426134034165
2011,Landfill (tonnes),1481.7281416000333
2012,Landfill (tonnes),1344.908128588796
2013,Landfill (tonnes),1274.315568581796
2014,Landfill (tonnes),1173.954781180366
2015,Landfill (tonnes),1132.9017555199107
2016,Landfill (tonnes),1046.0174982880662
2017,Landfill (tonnes),1001.104296020006
2018,Landfill (tonnes),903.08389098021
2019,Landfill (tonnes),841.8155244570474
2020,Landfill (tonnes),735.1448115955071
2021,Landfill (tonnes),667.6305204575336
2022,Landfill (tonnes),559.6609825435065
2023,Landfill (tonnes),508.9609226387757
2000,Recycled (tonnes),101.25517002261728
2001,Recycled (tonnes),105.34026495379648
2002,Recycled (tonnes),109.52831401980971
2003,Recycled (tonnes),161.5374115312581
2004,Recycled (tonnes),199.414619099444
2005,Recycled (tonnes),239.6705261491308
2006,Recycled (tonnes),292.55823008766606
2007,Recycled (tonnes),343.1677491422681
2008,Recycled (tonnes),390.818466887278
2009,Recycled (tonnes),418.4099320759221
2010,Recycled (tonnes),439.9361228732256
2011,Recycled (tonnes),442.127100857824
2012,Recycled (tonnes),447.34282578317607
2013,Recycled (tonnes),443.7527350186893
2014,Recycled (tonnes),452.5111600811501
2015,Recycled (tonnes),454.56389005031616
2016,Recycled (tonnes),467.1400079101093
2017,Recycled (tonnes),468.8873623904041
2018,Recycled (tonnes),473.51930018233327
2019,Recycled (tonnes),460.4109118113424
2020,Recycled (tonnes),443.9882844427117
2021,Recycled (tonnes),409.3486527714221
2022,Recycled (tonnes),373.0179827296639
2023,Recycled (tonnes),318.17257405166066
2000,Total (tonnes),1486.9503639236311
