date,location_code,measure,value
2016-12-03,UK049,observed_values,36.0
2016-12-18,UK043,observed_values,1031.0
2017-01-14,UK050,observed_values,3903.0
2017-01-15,UK020,observed_values,1375.0
2017-01-20,UK048,observed_values,51.0
2017-04-02,UK043,observed_values,1826.0
2017-04-03,UK048,observed_values,211.0
2017-04-08,UK050,observed_values,2614.0
2017-04-09,UK020,observed_values,1854.0
2017-06-10,UK049,observed_values,105.0
2017-06-12,UK048,observed_values,35.0
2017-06-18,UK043,observed_values,874.0
2017-07-08,UK050,observed_values,2500.0
2017-07-09,UK020,observed_values,737.0
2017-09-16,UK049,observed_values,72.0
2017-09-16,UK020,observed_values,1150.0
2017-09-16,UK050,observed_values,734.0
2017-09-17,UK043,observed_values,2619.0
2017-10-13,UK048,observed_values,9.0
2017-12-16,UK050,observed_values,2112.0
2017-12-17,UK043,observed_values,1129.0
2018-01-14,UK020,observed_values,6867.0
2018-01-15,UK048,observed_values,23.0
2018-02-24,UK049,observed_values,218.0
2018-04-13,UK048,observed_values,0.0
2018-04-14,UK050,observed_values,999.0
2018-04-15,UK020,observed_values,1518.0
2018-04-21,UK049,observed_values,150.0
2018-04-22,UK043,observed_values,3387.0
2018-06-03,UK049,observed_values,287.0
2018-06-17,UK043,observed_values,1916.0
2018-06-22,UK048,observed_values,73.0
2018-06-26,UK020,observed_values,336.0
2018-06-30,UK050,observed_values,580.0
2018-09-15,UK050,observed_values,1894.0
2018-09-15,UK020,observed_values,630.0
2018-09-15,UK049,observed_values,654.0
2018-09-15,UK043,observed_values,1408.0
2018-12-16,UK043,observed_values,1930.0
2019-01-13,UK020,observed_values,286.0
2019-01-26,UK049,observed_values,369.0
2019-02-15,UK048,observed_values,14.0
2019-04-07,UK020,observed_values,538.0
2019-04-13,UK049,observed_values,115.0
2019-04-15,UK048,observed_values,14.0
2019-04-20,UK050,observed_values,292.0
2019-06-22,UK049,observed_values,1281.0
2019-07-06,UK050,observed_values,292.0
2019-07-07,UK043,observed_values,1310.0
2019-07-14,UK020,observed_values,410.0
2019-09-18,UK048,observed_values,1376.0
2019-09-20,UK043,observed_values,1279.0
2019-09-21,UK020,observed_values,981.0
2019-09-21,UK050,observed_values,620.0
2019-09-21,UK049,observed_values,322.0
2019-12-14,UK049,observed_values,414.0
2019-12-15,UK043,observed_values,374.0
2020-01-05,UK020,observed_values,330.0
2020-01-25,UK050,observed_values,288.0
2020-02-25,UK048,observed_values,53.0
2020-09-19,UK020,observed_values,471.0
2020-09-20,UK050,observed_values,155.0
2020-09-20,UK043,observed_values,306.0
2020-12-11,UK049,observed_values,53.0
2021-06-28,UK049,observed_values,536.0
2021-07-11,UK020,observed_values,249.0
2021-09-18,UK050,observed_values,660.0
2021-09-18,UK020,observed_values,1004.0
2021-09-21,UK048,observed_values,734.5
2021-09-23,UK049,observed_values,124.0
2021-12-12,UK043,observed_values,901.0
2022-01-07,UK049,observed_values,137.0
2022-01-09,UK020,observed_values,371.0
2022-04-02,UK050,observed_values,781.0
2022-04-03,UK048,observed_values,59.0
2022-04-03,UK043,observed_values,318.0
2022-04-06,UK049,observed_values,134.0
2022-04-10,UK020,observed_values,541.0
2022-06-19,UK048,observed_values,40.0
2022-07-08,UK049,observed_values,198.0
2022-07-10,UK020,observed_values,441.0
2022-09-17,UK020,observed_values,690.0
2022-09-18,UK043,observed_values,554.0
2022-09-18,UK048,observed_values,335.0
2022-09-24,UK050,observed_values,203.5
2022-10-06,UK049,observed_values,132.0
2016-12-03,UK049,smoothed_values,1256.6626315640942
2016-12-18,UK043,smoothed_values,1261.3893180859754
2017-01-14,UK050,smoothed_values,1268.867333823113
2017-01-15,UK020,smoothed_values,1269.1171607639303
2017-01-20,UK048,smoothed_values,1270.3358193943595
2017-04-02,UK043,smoothed_values,1281.640507427988
2017-04-03,UK048,smoothed_values,1281.7072411853762
2017-04-08,UK050,smoothed_values,1282.000498544233
2017-04-09,UK020,smoothed_values,1282.051008288097
2017-06-10,UK049,smoothed_values,1279.5064344885095
2017-06-12,UK048,smoothed_values,1279.2265673252189
2017-06-18,UK043,smoothed_values,1278.3096973859697
2017-07-08,UK050,smoothed_values,1274.444596262112
2017-07-09,UK020,smoothed_values,1274.219669261653
2017-09-16,UK049,smoothed_values,1252.177132587927
2017-09-16,UK020,smoothed_values,1252.177132587927
2017-09-16,UK050,smoothed_values,1252.177132587927
2017-09-17,UK043,smoothed_values,1251.771857256664
2017-10-13,UK048,smoothed_values,1240.4921934751612
2017-12-16,UK050,smoothed_values,1207.553302626751
2017-12-17,UK043,smoothed_values,1206.9906184566214
2018-01-14,UK020,smoothed_values,1190.7680259196395
2018-01-15,UK048,smoothed_values,1190.1719001014976
2018-02-24,UK049,smoothed_values,1163.2927537315932
2018-04-13,UK048,smoothed_values,1125.0780198682496
2018-04-14,UK050,smoothed_values,1124.2342620692375
2018-04-15,UK020,smoothed_values,1123.3890541160065
2018-04-21,UK049,smoothed_values,1118.2890110412343
2018-04-22,UK043,smoothed_values,1117.4344809500788
2018-06-03,UK049,smoothed_values,1080.8139508117797
2018-06-17,UK043,smoothed_values,1068.510591068585
2018-06-22,UK048,smoothed_values,1064.133432346178
2018-06-26,UK020,smoothed_values,1060.6421944433944
2018-06-30,UK050,smoothed_values,1057.1048261967203
2018-09-15,UK050,smoothed_values,972.4459182066354
2018-09-15,UK020,smoothed_values,972.4459182066354
2018-09-15,UK049,smoothed_values,972.4459182066354
