year,category,value
1990,Percentage unknown,47.368421052631575
1991,Percentage unknown,43.85964912280701
1992,Percentage unknown,42.10526315789473
1993,Percentage unknown,35.08771929824561
1994,Percentage unknown,33.33333333333333
1995,Percentage unknown,35.08771929824561
1996,Percentage unknown,31.57894736842105
1997,Percentage unknown,33.33333333333333
1998,Percentage unknown,29.82456140350877
1999,Percentage unknown,28.07017543859649
2000,Percentage unknown,28.07017543859649
2001,Percentage unknown,26.31578947368421
2002,Percentage unknown,26.31578947368421
2003,Percentage unknown,24.561403508771928
2004,Percentage unknown,24.561403508771928
2005,Percentage unknown,24.561403508771928
2006,Percentage unknown,24.561403508771928
2007,Percentage unknown,24.561403508771928
2008,Percentage unknown,22.807017543859647
2009,Percentage unknown,22.807017543859647
2010,Percentage unknown,22.807017543859647
2011,Percentage unknown,22.807017543859647
2012,Percentage unknown,22.807017543859647
2013,Percentage unknown,22.807017543859647
2014,Percentage unknown,22.807017543859647
2015,Percentage unknown,22.807017543859647
2016,Percentage unknown,22.807017543859647
2017,Percentage unknown,22.807017543859647
2018,Percentage unknown,22.807017543859647
2019,Percentage unknown,22.807017543859647
1990,Percentage below MSYBtrigger and below Blim (where available),10.526315789473683
1991,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1992,Percentage below MSYBtrigger and below Blim (where available),8.771929824561402
1993,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1994,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1995,Percentage below MSYBtrigger and below Blim (where available),15.789473684210526
1996,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1997,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1998,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
1999,Percentage below MSYBtrigger and below Blim (where available),12.280701754385964
2000,Percentage below MSYBtrigger and below Blim (where available),14.035087719298245
2001,Percentage below MSYBtrigger and below Blim (where available),15.789473684210526
2002,Percentage below MSYBtrigger and below Blim (where available),17.543859649122805
2003,Percentage below MSYBtrigger and below Blim (where available),19.29824561403509
2004,Percentage below MSYBtrigger and below Blim (where available),15.789473684210526
2005,Percentage below MSYBtrigger and below Blim (where available),17.543859649122805
2006,Percentage below MSYBtrigger and below Blim (where available),19.29824561403509
