year,region,count
1991,Northeast England,927
1992,Northeast England,985
1993,Northeast England,1051
1994,Northeast England,1025
1995,Northeast England,1070
1996,Northeast England,1061
1997,Northeast England,1284
1998,Northeast England,1309
1999,Northeast England,843
2000,Northeast England,1171
2001,Northeast England,1247
2002,Northeast England,1200
2003,Northeast England,1266
2004,Northeast England,1133
2005,Northeast England,1138
2006,Northeast England,1254
2007,Northeast England,1164
2008,Northeast England,1318
2009,Northeast England,1346
2010,Northeast England,1498
2011,Northeast England,1555
2012,Northeast England,1603
2013,Northeast England,1575
2014,Northeast England,1740
2015,Northeast England,1876
2016,Northeast England,2295
2017,Northeast England,2131
2018,Northeast England,2737
2019,Northeast England,2823
1991,Southeast England,227
1992,Southeast England,200
1993,Southeast England,205
1994,Southeast England,302
1995,Southeast England,334
1996,Southeast England,310
1997,Southeast England,382
1998,Southeast England,463
1999,Southeast England,503
2000,Southeast England,618
2001,Southeast England,659
2002,Southeast England,811
2003,Southeast England,940
2004,Southeast England,1176
2005,Southeast England,1276
2006,Southeast England,1416
2007,Southeast England,1659
2008,Southeast England,1953
2009,Southeast England,2268
2010,Southeast England,2608
2011,Southeast England,2911
2012,Southeast England,3385
2013,Southeast England,4018
2014,Southeast England,5055
2015,Southeast England,5500
2016,Southeast England,5918
2017,Southeast England,6558
2018,Southeast England,7147
2019,Southeast England,7902
