year,sea,percentage
1996,Greater North Sea,97.5609756097561
1997,Greater North Sea,100.0
1998,Greater North Sea,100.0
1999,Greater North Sea,97.5609756097561
2000,Greater North Sea,92.6829268292683
2001,Greater North Sea,95.1219512195122
2002,Greater North Sea,92.6829268292683
2003,Greater North Sea,92.6829268292683
2004,Greater North Sea,90.2439024390244
2005,Greater North Sea,87.8048780487805
2006,Greater North Sea,82.9268292682927
2007,Greater North Sea,80.4878048780488
2008,Greater North Sea,80.4878048780488
2009,Greater North Sea,78.0487804878049
2010,Greater North Sea,78.0487804878049
2011,Greater North Sea,73.1707317073171
2012,Greater North Sea,75.609756097561
2013,Greater North Sea,68.2926829268293
2014,Greater North Sea,70.7317073170732
2015,Greater North Sea,73.1707317073171
2016,Greater North Sea,68.2926829268293
2017,Greater North Sea,
2018,Greater North Sea,
2019,Greater North Sea,
2020,Greater North Sea,
1996,Celtic Seas,100.0
1997,Celtic Seas,100.0
1998,Celtic Seas,100.0
1999,Celtic Seas,100.0
2000,Celtic Seas,96.2962962962963
2001,Celtic Seas,96.2962962962963
2002,Celtic Seas,92.5925925925926
2003,Celtic Seas,92.5925925925926
2004,Celtic Seas,92.5925925925926
2005,Celtic Seas,88.8888888888889
2006,Celtic Seas,85.1851851851852
2007,Celtic Seas,81.4814814814815
2008,Celtic Seas,74.0740740740741
2009,Celtic Seas,74.0740740740741
2010,Celtic Seas,74.0740740740741
2011,Celtic Seas,74.0740740740741
2012,Celtic Seas,77.7777777777778
2013,Celtic Seas,74.0740740740741
2014,Celtic Seas,59.2592592592593
2015,Celtic Seas,59.2592592592593
2016,Celtic Seas,51.8518518518518
2017,Celtic Seas,51.8518518518518
2018,Celtic Seas,51.8518518518518
2019,Celtic Seas,44.4444444444444
2020,Celtic Seas,48.1481481481481
1996,Threshold Value,75.0
1997,Threshold Value,75.0
1998,Threshold Value,75.0
1999,Threshold Value,75.0
2000,Threshold Value,75.0
2001,Threshold Value,75.0
2002,Threshold Value,75.0
2003,Threshold Value,75.0
2004,Threshold Value,75.0
2005,Threshold Value,75.0
2006,Threshold Value,75.0
2007,Threshold Value,75.0
2008,Threshold Value,75.0
2009,Threshold Value,75.0
2010,Threshold Value,75.0
2011,Threshold Value,75.0
2012,Threshold Value,75.0
2013,Threshold Value,75.0
2014,Threshold Value,75.0
2015,Threshold Value,75.0
2016,Threshold Value,75.0
2017,Threshold Value,75.0
2018,Threshold Value,75.0
2019,Threshold Value,75.0
2020,Threshold Value,75.0
