UKMS sub region,Regional Sea,Result type,value
Greater North Sea,Northern North Sea,Regional Sea Assessment results,Above GES target
Greater North Sea,Southern North Sea,Regional Sea Assessment results,Below GES target
Greater North Sea,Eastern Channel,Regional Sea Assessment results,Below GES target
Celtic Seas,Western Channel and Celtic Seas,Regional Sea Assessment results,Above GES target
Celtic Seas,Irish Sea,Regional Sea Assessment results,No data
Celtic Seas,Minches and Western Scotland,Regional Sea Assessment results,No data
Celtic Seas,Scottish Continental Shelf,Regional Sea Assessment results,No data
Celtic Seas,Atlantic North-West Approaches,Regional Sea Assessment results,Suitable habitat absent
Celtic Seas,Shared waters between N. Ireland and Rep of Ireland,Regional Sea Assessment results,No data
Greater North Sea,Northern North Sea,Water body classification results (high),0
Greater North Sea,Southern North Sea,Water body classification results (high),0
Greater North Sea,Eastern Channel,Water body classification results (high),0
Celtic Seas,Western Channel and Celtic Seas,Water body classification results (high),0
Celtic Seas,Irish Sea,Water body classification results (high),No data
Celtic Seas,Minches and Western Scotland,Water body classification results (high),No data
Celtic Seas,Scottish Continental Shelf,Water body classification results (high),No data
Celtic Seas,Atlantic North-West Approaches,Water body classification results (high),Suitable habitat absent
Celtic Seas,Shared waters between N. Ireland and Rep of Ireland,Water body classification results (high),No data
Greater North Sea,Northern North Sea,Water body classification results (good),2
Greater North Sea,Southern North Sea,Water body classification results (good),1
Greater North Sea,Eastern Channel,Water body classification results (good),0
Celtic Seas,Western Channel and Celtic Seas,Water body classification results (good),2
Celtic Seas,Irish Sea,Water body classification results (good),No data
Celtic Seas,Minches and Western Scotland,Water body classification results (good),No data
Celtic Seas,Scottish Continental Shelf,Water body classification results (good),No data
Celtic Seas,Atlantic North-West Approaches,Water body classification results (good),Suitable habitat absent
Celtic Seas,Shared waters between N. Ireland and Rep of Ireland,Water body classification results (good),No data
Greater North Sea,Northern North Sea,Water body classification results (good potential),0
Greater North Sea,Southern North Sea,Water body classification results (good potential),1
Greater North Sea,Eastern Channel,Water body classification results (good potential),0
Celtic Seas,Western Channel and Celtic Seas,Water body classification results (good potential),0
Celtic Seas,Irish Sea,Water body classification results (good potential),No data
Celtic Seas,Minches and Western Scotland,Water body classification results (good potential),No data
Celtic Seas,Scottish Continental Shelf,Water body classification results (good potential),No data
Celtic Seas,Atlantic North-West Approaches,Water body classification results (good potential),Suitable habitat absent
Celtic Seas,Shared waters between N. Ireland and Rep of Ireland,Water body classification results (good potential),No data
Greater North Sea,Northern North Sea,Water body classification results (moderate),0
Greater North Sea,Southern North Sea,Water body classification results (moderate),2
Greater North Sea,Eastern Channel,Water body classification results (moderate),1
Celtic Seas,Western Channel and Celtic Seas,Water body classification results (moderate),0
Celtic Seas,Irish Sea,Water body classification results (moderate),No data
Celtic Seas,Minches and Western Scotland,Water body classification results (moderate),No data
Celtic Seas,Scottish Continental Shelf,Water body classification results (moderate),No data
Celtic Seas,Atlantic North-West Approaches,Water body classification results (moderate),Suitable habitat absent
Celtic Seas,Shared waters between N. Ireland and Rep of Ireland,Water body classification results (moderate),No data
