OSPAR Region,Habitat,Result,value
Greater North Sea,Variable salinity,Not good,0
Greater North Sea,Coastal,Not good,0
Greater North Sea,Shelf,Not good,2
Greater North Sea,Variable salinity,Unknown,7
Greater North Sea,Coastal,Unknown,8
Greater North Sea,Shelf,Unknown,5
Greater North Sea,Variable salinity,Not assessed,1
Greater North Sea,Coastal,Not assessed,0
Greater North Sea,Shelf,Not assessed,1
Celtic Seas,Variable salinity,Not good,1
Celtic Seas,Coastal,Not good,4
Celtic Seas,Shelf,Not good,3
Celtic Seas,Variable salinity,Unknown,7
Celtic Seas,Coastal,Unknown,3
Celtic Seas,Shelf,Unknown,4
Celtic Seas,Variable salinity,Not assessed,0
Celtic Seas,Coastal,Not assessed,1
Celtic Seas,Shelf,Not assessed,1
