year,metal,value
2008,Cadmium,100.0
2009,Cadmium,108.9045549
2010,Cadmium,60.00548629
2011,Cadmium,59.32863293
2012,Cadmium,96.94299042
2013,Cadmium,64.65312076
2014,Cadmium,86.21970853
2015,Cadmium,48.0045748
2016,Cadmium,49.09488903
2017,Cadmium,63.8411253
2018,Cadmium,41.9819548
2019,Cadmium,51.48585225
2008,Copper,100.0
2009,Copper,85.90201016
2010,Copper,61.00212186
2011,Copper,50.78497182
2012,Copper,94.92682428
2013,Copper,64.26931879
2014,Copper,94.3190584
2015,Copper,49.28327382
2016,Copper,61.37248745
2017,Copper,66.25747106
2018,Copper,53.89021475
2019,Copper,58.70768153
2008,Lead,100.0
2009,Lead,167.3454765
2010,Lead,67.13936087
2011,Lead,81.53852677
2012,Lead,211.0730546
2013,Lead,91.93911392
2014,Lead,107.7478279
2015,Lead,58.47414514
2016,Lead,56.63642318
2017,Lead,105.80292
2018,Lead,55.87305972
2019,Lead,78.89476881
2008,Mercury,100.0
2009,Mercury,66.39264531
2010,Mercury,67.42796596
2011,Mercury,51.55493786
2012,Mercury,91.92382054
2013,Mercury,82.54548879
2014,Mercury,84.56394659
2015,Mercury,47.82585521
2016,Mercury,63.68437133
2017,Mercury,63.27943979
2018,Mercury,45.70681992
2019,Mercury,54.71587886
2008,Zinc,100.0
2009,Zinc,103.3917075
2010,Zinc,63.29907919
2011,Zinc,65.9079589
2012,Zinc,108.4821672
2013,Zinc,70.95191714
2014,Zinc,99.73690019
2015,Zinc,54.13814
2016,Zinc,60.90452259
2017,Zinc,67.00755621
2018,Zinc,81.14911492
2019,Zinc,68.33728807
2008,flow,100.0
2009,flow,78.31492129
2010,flow,65.42533127
2011,flow,62.7103821
2012,flow,108.1184197
2013,flow,81.36298833
2014,flow,99.45438158
2015,flow,82.66669288
2016,flow,79.18649536
2017,flow,65.64258774
2018,flow,73.22303524
2019,flow,90.11383853
