year,nutrient,value
2008,Ortho-Phosphate,100.0
2009,Ortho-Phosphate,65.17858313
2010,Ortho-Phosphate,59.07348095
2011,Ortho-Phosphate,60.85089678
2012,Ortho-Phosphate,81.06270708
2013,Ortho-Phosphate,59.57996353
2014,Ortho-Phosphate,63.63961788
2015,Ortho-Phosphate,53.05723564
2016,Ortho-Phosphate,53.66842816
2017,Ortho-Phosphate,48.80971958
2018,Ortho-Phosphate,48.9910605
2019,Ortho-Phosphate,51.43245221
2008,Total Nitrogen,100.0
2009,Total Nitrogen,69.69735487
2010,Total Nitrogen,57.258818
2011,Total Nitrogen,52.1461432
2012,Total Nitrogen,79.79558985
2013,Total Nitrogen,70.32894255
2014,Total Nitrogen,82.379647
2015,Total Nitrogen,63.63233418
2016,Total Nitrogen,76.98931947
2017,Total Nitrogen,60.12205384
2018,Total Nitrogen,80.65997078
2019,Total Nitrogen,59.29818048
2008,flow,100.0
2009,flow,78.31492129
2010,flow,65.42533127
2011,flow,62.7103821
2012,flow,108.1184197
2013,flow,81.36298833
2014,flow,99.45438158
2015,flow,82.66669288
2016,flow,79.18649536
2017,flow,65.64258774
2018,flow,73.22303524
2019,flow,90.11383853
