year,category,value
2001,Category 1 (Major) incidents,98
2002,Category 1 (Major) incidents,76
2003,Category 1 (Major) incidents,83
2004,Category 1 (Major) incidents,83
2005,Category 1 (Major) incidents,73
2006,Category 1 (Major) incidents,75
2007,Category 1 (Major) incidents,56
2008,Category 1 (Major) incidents,59
2009,Category 1 (Major) incidents,66
2010,Category 1 (Major) incidents,43
2011,Category 1 (Major) incidents,41
2012,Category 1 (Major) incidents,41
2001,Category 2 (Significant) incidents,736
2002,Category 2 (Significant) incidents,693
2003,Category 2 (Significant) incidents,618
2004,Category 2 (Significant) incidents,505
2005,Category 2 (Significant) incidents,495
2006,Category 2 (Significant) incidents,461
2007,Category 2 (Significant) incidents,380
2008,Category 2 (Significant) incidents,314
2009,Category 2 (Significant) incidents,361
2010,Category 2 (Significant) incidents,294
2011,Category 2 (Significant) incidents,320
2012,Category 2 (Significant) incidents,250
2013,Category 1 (Major) incidents,43
2013,Category 2 (Significant) incidents,324
2014,Category 1 (Major) incidents,53
2014,Category 2 (Significant) incidents,307
2015,Category 1 (Major) incidents,51
2015,Category 2 (Significant) incidents,274
2016,Category 1 (Major) incidents,51
2016,Category 2 (Significant) incidents,266
2017,Category 1 (Major) incidents,42
2017,Category 2 (Significant) incidents,220
2018,Category 1 (Major) incidents,69
2018,Category 2 (Significant) incidents,245
2019,Category 1 (Major) incidents,41
2019,Category 2 (Significant) incidents,225
2020,Category 1 (Major) incidents,47
2020,Category 2 (Significant) incidents,270
2021,Category 1 (Major) incidents,47
2021,Category 2 (Significant) incidents,282
