year,condition,value
1995,Excellent,12.432432432432432
1995,Good,17.027027027027028
1995,Sufficient,16.216216216216218
1995,Poor,54.32432432432432
1996,Excellent,16.180371352785148
1996,Good,19.363395225464192
1996,Sufficient,16.710875331564985
1996,Poor,47.74535809018568
1997,Excellent,20.626631853785906
1997,Good,19.06005221932115
1997,Sufficient,16.710182767624023
1997,Poor,43.60313315926893
1998,Excellent,24.371859296482413
1998,Good,20.35175879396985
1998,Sufficient,17.33668341708543
1998,Poor,37.93969849246231
1999,Excellent,24.25
1999,Good,21.75
1999,Sufficient,17.0
1999,Poor,37.0
2000,Excellent,26.17283950617284
2000,Good,21.975308641975307
2000,Sufficient,18.02469135802469
2000,Poor,33.827160493827165
2001,Excellent,29.80295566502464
2001,Good,28.078817733990142
2001,Sufficient,15.024630541871922
2001,Poor,27.093596059113302
2002,Excellent,36.85503685503686
2002,Good,29.23832923832924
2002,Sufficient,12.285012285012286
2002,Poor,21.62162162162162
2003,Excellent,45.25547445255474
2003,Good,27.49391727493917
2003,Sufficient,11.922141119221411
2003,Poor,15.328467153284672
2004,Excellent,46.00484261501211
2004,Good,29.53995157384988
2004,Sufficient,14.043583535108958
2004,Poor,10.411622276029057
2005,Excellent,51.20772946859904
2005,Good,26.08695652173913
2005,Sufficient,14.251207729468598
2005,Poor,8.454106280193237
2006,Excellent,52.78450363196126
2006,Good,26.39225181598063
2006,Sufficient,12.590799031477
2006,Poor,8.232445520581114
2007,Excellent,54.10628019323672
2007,Good,25.845410628019323
2007,Sufficient,11.35265700483092
2007,Poor,8.695652173913043
2008,Excellent,53.14009661835749
2008,Good,22.70531400966184
2008,Sufficient,14.734299516908212
2008,Poor,9.420289855072465
2009,Excellent,52.17391304347826
2009,Good,23.18840579710145
2009,Sufficient,12.80193236714976
2009,Poor,11.83574879227053
2010,Excellent,51.3317191283293
2010,Good,24.45520581113801
2010,Sufficient,12.590799031477
2010,Poor,11.62227602905569
2011,Excellent,53.3816425120773
2011,Good,24.15458937198068
2011,Sufficient,12.07729468599034
2011,Poor,10.38647342995169
2012,Excellent,50.0
2012,Good,28.60576923076923
2012,Sufficient,9.85576923076923
2012,Poor,11.538461538461538
2013,Excellent,55.18072289156627
2013,Good,27.951807228915666
2013,Sufficient,7.228915662650602
2013,Poor,9.63855421686747
2014,Excellent,60.817307692307686
2014,Good,24.759615384615387
2014,Sufficient,8.89423076923077
2014,Poor,5.528846153846153
2015,Excellent,63.614457831325296
2015,Good,26.506024096385545
2015,Sufficient,6.987951807228916
2015,Poor,2.891566265060241
2016,Excellent,69.49152542372882
2017,Excellent,65.61743341404357
2018,Excellent,67.14285714285714
2019,Excellent,71.42857142857143
2020,Excellent,
2021,Excellent,71.0
2022,Excellent,72.0
2016,Good,23.728813559322028
2017,Good,26.39225181598063
2018,Good,25.23809523809524
2019,Good,21.904761904761894
2020,Good,
2021,Good,24.0
2022,Good,21.0
2016,Sufficient,5.32687651331719
2017,Sufficient,6.29539951573849
2018,Sufficient,5.47619047619047
2019,Sufficient,5.0
2020,Sufficient,
2021,Sufficient,4.0
2022,Sufficient,4.0
2016,Poor,1.45278450363196
2017,Poor,1.69491525423728
2018,Poor,2.14285714285714
2019,Poor,1.66666666666666
2020,Poor,
2021,Poor,1.0
2022,Poor,3.0
