Naturalness component,habitat_type,variable,value
Biological,Large rivers,Class 1,51.60409556
Biological,Large rivers,Class 2,0.4948805
Biological,Large rivers,Class 3,8.4982935
Biological,Large rivers,Class 4,6.12627986
Biological,Large rivers,Class 5,33.2764505
Chemical,Large rivers,Class 1,61.063698075714285
Chemical,Large rivers,Class 2,14.701739657142856
Chemical,Large rivers,Class 3,15.290035357142855
Chemical,Large rivers,Class 4,7.433617577142857
Chemical,Large rivers,Class 5,1.5109093285714283
Cross-cutting,Large rivers,Class 1,
Cross-cutting,Large rivers,Class 2,
Cross-cutting,Large rivers,Class 3,
Cross-cutting,Large rivers,Class 4,
Cross-cutting,Large rivers,Class 5,
Hydrological,Large rivers,Class 1,46.57019706
Hydrological,Large rivers,Class 2,9.395237566666667
Hydrological,Large rivers,Class 3,13.667142783333333
Hydrological,Large rivers,Class 4,9.570891866666669
Hydrological,Large rivers,Class 5,20.79653073333333
Physical,Large rivers,Class 1,20.620141855
Physical,Large rivers,Class 2,14.23567759
Physical,Large rivers,Class 3,18.30869999
Physical,Large rivers,Class 4,26.782983837
Physical,Large rivers,Class 5,20.05249673
Biological,Headwater streams,Class 1,64.2688679
Biological,Headwater streams,Class 2,0.5503145
Biological,Headwater streams,Class 3,9.90566
Biological,Headwater streams,Class 4,6.800314
Biological,Headwater streams,Class 5,18.4748428
Chemical,Headwater streams,Class 1,34.96219064
Chemical,Headwater streams,Class 2,19.72176978
Chemical,Headwater streams,Class 3,21.1116024
Chemical,Headwater streams,Class 4,16.301055400000003
Chemical,Headwater streams,Class 5,7.903381859999999
Cross-cutting,Headwater streams,Class 1,3.7650367
Cross-cutting,Headwater streams,Class 2,9.8265896
Cross-cutting,Headwater streams,Class 3,21.684112
Cross-cutting,Headwater streams,Class 4,38.478363
Cross-cutting,Headwater streams,Class 5,26.2458991
Hydrological,Headwater streams,Class 1,35.2697298
Hydrological,Headwater streams,Class 2,12.8857092
Hydrological,Headwater streams,Class 3,14.8860645
Hydrological,Headwater streams,Class 4,17.485514000000002
Hydrological,Headwater streams,Class 5,19.4729826
Physical,Headwater streams,Class 1,21.25434506
Physical,Headwater streams,Class 2,16.07471671
Physical,Headwater streams,Class 3,18.1185838
Physical,Headwater streams,Class 4,24.1870536
Physical,Headwater streams,Class 5,20.365300580000003
