Naturalness component,habitat_type,variable,value
Biological,Lakes,Class 1,0.0
Biological,Lakes,Class 2,7.51773
Biological,Lakes,Class 3,8.93617
Biological,Lakes,Class 4,23.829787
Biological,Lakes,Class 5,59.7163121
Chemical,Lakes,Class 1,38.52994014285714
Chemical,Lakes,Class 2,18.397054285714287
Chemical,Lakes,Class 3,23.611517428571428
Chemical,Lakes,Class 4,14.122887285714285
Chemical,Lakes,Class 5,5.338601042857142
Hydrological,Lakes,Class 1,55.831904
Hydrological,Lakes,Class 2,2.95883375
Hydrological,Lakes,Class 3,5.74614075
Hydrological,Lakes,Class 4,4.845625999999999
Hydrological,Lakes,Class 5,30.6174957
Physical,Lakes,Class 1,30.2083332
Physical,Lakes,Class 2,11.6041666
Physical,Lakes,Class 3,26.3472222
Physical,Lakes,Class 4,11.5277778
Physical,Lakes,Class 5,20.3125
Biological,Ponds,Class 1,18.651045
Biological,Ponds,Class 2,5.8437926
Biological,Ponds,Class 3,19.865672
Biological,Ponds,Class 4,13.185092
Biological,Ponds,Class 5,42.4544
Chemical,Ponds,Class 1,47.98387
Chemical,Ponds,Class 2,10.88709675
Chemical,Ponds,Class 3,7.6612905
Chemical,Ponds,Class 4,6.8548385
Chemical,Ponds,Class 5,26.612905
Cross-cutting,Ponds,Class 1,
Cross-cutting,Ponds,Class 2,
Cross-cutting,Ponds,Class 3,
Cross-cutting,Ponds,Class 4,
Cross-cutting,Ponds,Class 5,
Hydrological,Ponds,Class 1,
Hydrological,Ponds,Class 2,
Hydrological,Ponds,Class 3,
Hydrological,Ponds,Class 4,
Hydrological,Ponds,Class 5,
Physical,Ponds,Class 1,36.64122
Physical,Ponds,Class 2,13.740458
Physical,Ponds,Class 3,8.396947
Physical,Ponds,Class 4,18.320611
Physical,Ponds,Class 5,22.90076
