Naturalness component,habitat_type,variable,value
Biological,Estuaries,Class 1,14.181057038199896
Biological,Estuaries,Class 2,30.760509331937897
Biological,Estuaries,Class 3,40.421681493110064
Biological,Estuaries,Class 4,11.502849002849004
Biological,Estuaries,Class 5,3.133903133903134
Chemical,Estuaries,Class 1,36.38479100807868
Chemical,Estuaries,Class 2,11.661607038319367
Chemical,Estuaries,Class 3,48.047351953601954
Chemical,Estuaries,Class 4,0.78125
Chemical,Estuaries,Class 5,3.125
Cross-cutting,Estuaries,Class 1,47.69106298232512
Cross-cutting,Estuaries,Class 2,21.84466019417476
Cross-cutting,Estuaries,Class 3,20.845780433159074
Cross-cutting,Estuaries,Class 4,5.451829723674384
Cross-cutting,Estuaries,Class 5,4.166666666666667
Hydrological,Estuaries,Class 1,28.80693975991005
Hydrological,Estuaries,Class 2,21.81323214739056
Hydrological,Estuaries,Class 3,25.83460269103833
Hydrological,Estuaries,Class 4,10.532042215210533
Hydrological,Estuaries,Class 5,13.013183186450512
Physical,Estuaries,Class 1,24.038461538461537
Physical,Estuaries,Class 2,25.32051282051282
Physical,Estuaries,Class 3,18.91025641025641
Physical,Estuaries,Class 4,17.94871794871795
Physical,Estuaries,Class 5,13.782051282051285
Biological,Coastal,Class 1,22.58333333333333
Biological,Coastal,Class 2,32.79333333333333
Biological,Coastal,Class 3,21.32333333333333
Biological,Coastal,Class 4,22.76
Biological,Coastal,Class 5,0.5366666666666667
Chemical,Coastal,Class 1,44.4
Chemical,Coastal,Class 2,17.505
Chemical,Coastal,Class 3,37.515
Chemical,Coastal,Class 4,0.5825
Chemical,Coastal,Class 5,0.0
Cross-cutting,Coastal,Class 1,51.07333333333333
Cross-cutting,Coastal,Class 2,32.79666666666667
Cross-cutting,Coastal,Class 3,14.516666666666666
Cross-cutting,Coastal,Class 4,1.0766666666666669
Cross-cutting,Coastal,Class 5,0.5366666666666667
Hydrological,Coastal,Class 1,42.27666666666666
Hydrological,Coastal,Class 2,27.73
Hydrological,Coastal,Class 3,15.311666666666667
Hydrological,Coastal,Class 4,4.616666666666666
Hydrological,Coastal,Class 5,10.061666666666666
Physical,Coastal,Class 1,20.966666666666665
Physical,Coastal,Class 2,22.040000000000003
Physical,Coastal,Class 3,26.88
Physical,Coastal,Class 4,16.666666666666668
Physical,Coastal,Class 5,13.443333333333332
