year,status,percentage
2006,Not at risk,21.428571428571427
2006,Probably not at risk,19.047619047619047
2006,Probably at risk,21.428571428571427
2006,At risk,38.095238095238095
2007,Not at risk,21.428571428571427
2007,Probably not at risk,21.428571428571427
2007,Probably at risk,16.666666666666664
2007,At risk,40.47619047619048
2008,Not at risk,23.809523809523807
2008,Probably not at risk,33.33333333333333
2008,Probably at risk,7.142857142857142
2008,At risk,35.714285714285715
2009,Not at risk,14.285714285714285
2009,Probably not at risk,30.95238095238096
2009,Probably at risk,23.809523809523807
2009,At risk,30.95238095238096
2010,Not at risk,26.1904761904762
2010,Probably not at risk,21.428571428571427
2010,Probably at risk,19.047619047619047
2010,At risk,33.33333333333333
2011,Not at risk,23.809523809523807
2011,Probably not at risk,23.809523809523807
2011,Probably at risk,28.57142857142857
2011,At risk,23.809523809523807
2012,Not at risk,16.666666666666664
2012,Probably not at risk,28.57142857142857
2012,Probably at risk,28.57142857142857
2012,At risk,26.1904761904762
2013,Not at risk,14.285714285714285
2013,Probably not at risk,16.666666666666664
2013,Probably at risk,30.95238095238096
2013,At risk,38.095238095238095
2014,Not at risk,0.0
2014,Probably not at risk,9.523809523809524
2014,Probably at risk,66.66666666666666
2014,At risk,23.809523809523807
2015,Not at risk,0.0
2015,Probably not at risk,19.047619047619047
2015,Probably at risk,52.38095238095239
2015,At risk,28.57142857142857
2016,Not at risk,0.0
2016,Probably not at risk,9.523809523809524
2016,Probably at risk,57.14285714285714
2016,At risk,33.33333333333333
2017,Not at risk,0.0
2017,Probably not at risk,14.285714285714285
2017,Probably at risk,64.28571428571429
2017,At risk,21.428571428571427
2018,Not at risk,0.0
2018,Probably not at risk,9.523809523809524
2018,Probably at risk,61.90476190476191
2018,At risk,28.57142857142857
2019,Not at risk,0.0
2019,Probably not at risk,7.0
2019,Probably at risk,36.0
2019,At risk,57.0
2020,Not at risk,2.0
2020,Probably not at risk,10.0
2020,Probably at risk,40.0
2020,At risk,48.0
2021,Not at risk,2.0
2021,Probably not at risk,10.0
2021,Probably at risk,14.0
2021,At risk,74.0
